Network Slice ID,Timestamp,Device ID,Traffic Load (bps),Traffic Type,Network Utilization (%),Latency (ms),Packet Loss Rate (%),Signal Strength (dBm),Bandwidth Utilization (%),Network Slice Failure,QoS Metric (Throughput),Overload Status,Device Type,Region,Network Failure Count,Time of Day,Weather Conditions
3,2025-01-01 00:00:00,194,0.6835965669821316,3,0.8022251590121883,0.40946219498594394,0.7179506755817758,0.05189169357499379,0.9826182399611003,0,0.175968109641723,0,2,0,0,1,0
4,2025-01-01 01:00:00,197,0.13488239064823143,2,0.4346291099821933,0.6628685654932077,0.6799898624783411,0.8564191232033331,0.18057662670752794,0,0.6268090456967248,1,0,1,2,2,1
1,2025-01-01 02:00:00,159,0.3434397841899556,0,0.8699715264654251,0.4654701398825064,0.831167479582426,0.9282508019665483,0.590927834779766,1,0.5797029143592672,1,2,2,3,1,1
3,2025-01-01 03:00:00,163,0.17105995316993264,0,0.18055742985443657,0.6314423107182712,0.04145829985549497,0.08959307459202881,0.08947615738152725,1,0.3396262004023247,1,2,1,0,0,0
3,2025-01-01 04:00:00,187,0.9437304689238878,1,0.9481850635855706,0.4501923336674747,0.02296405087569783,0.11248915075225607,0.7338519597018451,0,0.5165376855557023,0,1,2,0,1,2
4,2025-01-01 05:00:00,134,0.2724579553244718,0,0.218701361565095,0.18885051587428983,0.37303010305893497,0.032046133841830304,0.9948271664654622,0,0.5885688088673263,1,0,0,0,0,2
1,2025-01-01 06:00:00,169,0.9390474621842754,2,0.32623407044839836,0.5085746519344994,0.1487025915260504,0.10354819684576055,0.8191545609509114,1,0.8893835784069528,1,0,3,3,2,1
1,2025-01-01 07:00:00,182,0.5313331879167743,2,0.7565415766875792,0.5292911760999244,0.5584973469257826,0.2087085017344208,0.5556331270095072,1,0.05455033006080574,1,1,3,3,1,0
3,2025-01-01 08:00:00,129,0.3095480809465728,0,0.3938214450580644,0.8117162463047753,0.9176357875638557,0.9711637732164515,0.484647686895445,1,0.8231916352682672,0,0,0,1,1,1
2,2025-01-01 09:00:00,170,0.34367794090152337,1,0.6084451562115016,0.7365251664589992,0.3915116885695608,0.6682328270519122,0.8350510926095542,0,0.9801591397136036,0,0,1,4,1,1
3,2025-01-01 10:00:00,173,0.6517392117235423,0,0.44467949029633025,0.664692968929322,0.8452021663910063,0.7791873483826994,0.9360282989790034,1,0.7314847524532246,0,2,3,2,1,1
3,2025-01-01 11:00:00,195,0.35118432884322615,3,0.7427084853826222,0.11349719472493966,8.317023906215232e-05,0.7767680198757152,0.9892781862021793,1,0.7370632507157928,1,2,1,4,1,0
3,2025-01-01 12:00:00,197,0.3731604063354137,3,0.22826837088622454,0.7215993251680171,0.16843851396683582,0.5351323990689099,0.39641665013235383,0,0.2170777769767751,0,2,3,0,2,0
3,2025-01-01 13:00:00,162,0.650277997881073,3,0.05826244611492304,0.5009714778702031,0.03028046715347613,0.798168072056195,0.9909896959365232,1,0.5225367356665492,0,0,2,0,2,1
4,2025-01-01 14:00:00,127,0.26706270421381584,0,0.29992242934535573,0.8953319651647166,0.32814843676265865,0.5960097784339264,0.15572481744040423,0,0.7056195330613284,0,0,3,1,1,0
1,2025-01-01 15:00:00,159,0.18157446069746533,0,0.47443787526617975,0.9211404114141689,0.9084720415582049,0.3140833393054445,0.2533803358472084,1,0.6018379133788972,0,0,2,4,0,2
4,2025-01-01 16:00:00,178,0.5257220377311456,0,0.16791007170344718,0.055182979264879944,0.09684130244130988,0.5612303174815816,0.08879276120768154,0,0.38443230947626195,1,0,3,0,0,2
4,2025-01-01 17:00:00,193,0.5659393612948603,3,0.35483316967665,0.8217683883270501,0.6065459275266993,0.5335635348080177,0.2715750374872561,0,0.9400739211346707,0,1,3,4,1,1
4,2025-01-01 18:00:00,136,0.320397565904862,1,0.40005418534072,0.03769868023869652,0.4515569916662795,0.8241935366228141,0.7679366944276651,0,0.5134394752281355,1,1,3,1,1,2
3,2025-01-01 19:00:00,192,0.8788739416493799,2,0.05719546997963354,0.3676445553778013,0.93876533652054,0.982841917940851,0.8529513541419094,1,0.9698664862524555,1,0,3,4,2,1
2,2025-01-01 20:00:00,121,0.15630202722554112,0,0.5835215791732655,0.5430266676884326,0.12242071561128771,0.4108079598739358,0.7788953782801444,1,0.5633872774864647,1,2,3,2,2,1
1,2025-01-01 21:00:00,167,0.49874800794152474,1,0.884792848049125,0.14826080122666838,0.21197281509123908,0.7639891520016588,0.6310200633022374,1,0.7931658305217836,1,2,1,1,1,1
2,2025-01-01 22:00:00,119,0.06854239189465908,2,0.15162022110854645,0.7473337890962509,0.029398468747962054,0.09879242037877534,0.5138824201255612,1,0.7417448887935877,1,1,2,4,1,0
4,2025-01-01 23:00:00,195,0.06256287782338121,2,0.5980336685167447,0.008313811781234692,0.4339877892085168,0.7774616216912362,0.7086840192081243,0,0.6604497567024344,1,1,2,0,0,0
4,2025-01-02 00:00:00,199,0.1471841863943519,2,0.6650171288026532,0.16878851873151354,0.2778097647455318,0.3710886169875356,0.3907091018844293,1,0.013324207179607375,0,0,3,3,2,0
2,2025-01-02 01:00:00,167,0.2674344067449542,1,0.4194209598181138,0.5815788638979581,0.8701698208194205,0.0382768358729777,0.8413315404908355,1,0.07636680593593677,1,0,1,3,1,0
2,2025-01-02 02:00:00,190,0.21384246935123444,1,0.7014039047169771,0.7153616422993827,0.6050762518649849,0.36289856497051076,0.6771594956654647,0,0.5810166599425294,0,0,1,1,2,1
2,2025-01-02 03:00:00,163,0.9055374774084989,3,0.41081110441625546,0.9179079397393434,0.6142306122906535,0.6108800728185839,0.6977808563111685,0,0.9117034990335462,1,0,0,3,1,0
4,2025-01-02 04:00:00,116,0.8965899074972624,1,0.5047901829979948,0.7064579508785164,0.5320107324302634,0.11832565876549905,0.5358591009004259,0,0.6006972316260051,0,0,0,2,1,2
4,2025-01-02 05:00:00,111,0.859483088647715,1,0.007117593895966001,0.67269209805474,0.09173704285697354,0.925012786401689,0.885266567532293,0,0.23512073852020654,1,2,1,1,1,2
1,2025-01-02 06:00:00,121,0.8944387069203444,1,0.6920191083090386,0.39485513703478103,0.4450765962657064,0.07664959942136562,0.2518447905072292,1,0.31944251524761413,0,2,0,0,1,0
1,2025-01-02 07:00:00,116,0.6231915670266469,2,0.6616179503772985,0.0012333691054361717,0.9998319030168238,0.9309991343226041,0.3810200315708494,0,0.6227414173243546,0,0,2,0,0,2
4,2025-01-02 08:00:00,109,0.19266210236732226,0,0.03818967294525777,0.12027909337618406,0.8354763674322478,0.7076029885622257,0.7776448931617517,1,0.5966052080382572,1,2,1,1,1,2
2,2025-01-02 09:00:00,164,0.7372385840581904,3,0.36829649316478963,0.5352701022134009,0.8937343590419181,0.3292852752409603,0.4926578499760561,1,0.9556768088782628,1,0,0,3,0,0
2,2025-01-02 10:00:00,121,0.4808517552372219,0,0.9795552061763562,0.6760475303934806,0.8234676171208307,0.39046776397804805,0.8892529027789897,0,0.5285551112189462,1,0,1,3,0,1
1,2025-01-02 11:00:00,189,0.5509833423847722,0,0.42082393674348295,0.4179954927409476,0.10293382433981986,0.741354447853388,0.34626030972641164,0,0.3542800507053976,1,1,0,0,1,1
4,2025-01-02 12:00:00,181,0.3261945673560599,1,0.5020961979722391,0.7316765119125428,0.22740069406804453,0.6016867376612245,0.3691986740257638,0,0.5244584761784216,0,2,1,2,2,1
1,2025-01-02 13:00:00,149,0.8202350851577177,3,0.9103995597596743,0.522559606774604,0.002965343603973674,0.6720244699440945,0.888774522010654,0,0.7860079317181191,0,2,3,3,2,0
1,2025-01-02 14:00:00,113,0.9014198146384024,0,0.7175808164448716,0.07422992629782751,0.3034994377160713,0.3888782835370719,0.46426997337525044,0,0.539847660961922,1,1,2,2,1,1
3,2025-01-02 15:00:00,163,0.5555294646593246,0,0.5822834960077403,0.192239385166357,0.10850223136757337,0.4877603906326875,0.5160411990810942,1,0.3252835474193539,1,2,0,3,1,1
3,2025-01-02 16:00:00,146,0.7859794695560047,3,0.7981865204553742,0.8411528778017322,0.4728647222820619,0.9910014311485169,0.3326202364339794,0,0.337866877353162,0,1,3,1,1,2
3,2025-01-02 17:00:00,128,0.840015446799797,1,0.8648000857090186,0.7259019575910072,0.6772979214809698,0.21322220229080813,0.2765080793828163,1,0.7565510535497127,1,2,1,4,2,1
2,2025-01-02 18:00:00,175,0.2858837617186457,0,0.4570036778188571,0.8959953683915375,0.8747714116189269,0.41763769085390345,0.6559111509816793,0,0.06537297636396579,0,0,3,0,2,0
4,2025-01-02 19:00:00,135,0.7684048397005013,2,0.4752381998417592,0.11767334318686071,0.7494225452152569,0.2913067040511903,0.11962740029555974,1,0.273925749520371,1,1,2,1,1,1
4,2025-01-02 20:00:00,198,0.35095618806812623,0,0.386111222675811,0.9915931473484044,0.938882776837686,0.7657140526729533,0.879308272401754,1,0.15206445348920677,1,0,0,3,2,2
4,2025-01-02 21:00:00,151,0.7551237079441957,2,0.9672198798565941,0.20965484818078076,0.05376659784735009,0.7646125697354944,0.7792059717016753,1,0.9446365211777845,0,0,0,0,0,2
4,2025-01-02 22:00:00,175,0.013255535474221203,1,0.6974695015353027,0.011743907825254002,0.012027918838291653,0.2919304487553467,0.19055824136545496,0,0.08904686170905828,0,2,1,4,2,2
3,2025-01-02 23:00:00,106,0.9817609796921324,0,0.08304686495368152,0.9988039028824661,0.6615008924613291,0.08037629325745632,0.6939948632452864,0,0.7579244624291049,1,1,2,4,2,2
2,2025-01-03 00:00:00,128,0.5741557678439473,3,0.8633923440720057,0.28142504635294097,0.2893348597650114,0.010253247988423198,0.602577887976903,0,0.6300156852426685,0,0,3,3,1,1
2,2025-01-03 01:00:00,110,0.7298768707543558,3,0.48069403306174996,0.66892687530593,0.2534660858166275,0.4272547220998886,0.18434299210874228,1,0.6323973231407815,1,0,1,0,0,2
3,2025-01-03 02:00:00,132,0.8910933841400984,0,0.06856640572365214,0.17688340474553535,0.33088967217777204,0.4101013219806946,0.2730405071814097,1,0.7631800735773496,0,1,0,3,1,2
