sample_id,timestep,rps,channel_occupancy,packet_loss,latency,label,scenario
0,0,0.486942,0.331785,0.098206,0.114898,0,emergency_ramp
0,1,0.386704,0.313009,0.042304,0.146953,0,emergency_ramp
0,2,0.480166,0.306181,0.070525,0.148945,0,emergency_ramp
0,3,0.47146,0.332395,0.073251,0.078695,0,emergency_ramp
0,4,0.371483,0.336906,0.085528,0.076938,0,emergency_ramp
0,5,0.320458,0.368182,0.065647,0.073806,0,emergency_ramp
0,6,0.493915,0.322989,0.064757,0.083395,0,emergency_ramp
0,7,0.461925,0.325127,0.057292,0.091965,0,emergency_ramp
0,8,0.443756,0.316605,0.082046,0.13277,0,emergency_ramp
0,9,0.388404,0.385612,0.076937,0.075189,0,emergency_ramp
1,0,0.494817,0.707709,0.359231,0.213795,2,startup_surge
1,1,0.599846,0.696114,0.381805,0.205408,2,startup_surge
1,2,0.668641,0.71863,0.460322,0.184653,2,startup_surge
1,3,0.499109,0.739544,0.380932,0.192187,2,startup_surge
1,4,0.527581,0.774675,0.323771,0.218421,2,startup_surge
1,5,0.644351,0.694374,0.312255,0.191744,2,startup_surge
1,6,0.692957,0.770977,0.327765,0.310052,2,startup_surge
1,7,0.575185,0.662983,0.395579,0.329757,2,startup_surge
1,8,0.485974,0.726624,0.460247,0.266599,2,startup_surge
1,9,0.453484,0.736077,0.336169,0.249958,2,startup_surge
2,0,0.400498,0.30614,0.051738,0.096422,0,emergency_ramp
2,1,0.485462,0.303393,0.072277,0.098767,0,emergency_ramp
2,2,0.338953,0.364451,0.043448,0.144376,0,emergency_ramp
2,3,0.446161,0.356883,0.033554,0.142106,0,emergency_ramp
2,4,0.30874,0.383201,0.050615,0.12634,0,emergency_ramp
2,5,0.36717,0.360792,0.053607,0.128911,0,emergency_ramp
2,6,0.380277,0.318737,0.096088,0.140353,0,emergency_ramp
2,7,0.32167,0.303784,0.072122,0.098504,0,emergency_ramp
2,8,0.427355,0.347917,0.060384,0.105054,0,emergency_ramp
2,9,0.329135,0.344667,0.098867,0.084473,0,emergency_ramp
3,0,0.01027,0.076032,0.003753,0.029064,0,lunch_restart
3,1,0.013416,0.070632,0.004499,0.012424,0,lunch_restart
3,2,0.016758,0.067296,0.005444,0.012137,0,lunch_restart
3,3,0.025599,0.058745,0.005442,0.016594,0,lunch_restart
