sample_id,true_label,scenario,predicted_label,exit_point,confidence,entropy,inference_ms,inference_std_ms,inference_min_ms,inference_max_ms,inference_p50_ms,inference_p95_ms,measurement_repeats,inference_mode,dynamic_theta
0,2,startup_surge,2,2,0.93087,0.252548,1.759538,0.044913,1.68695,1.825857,1.759671,1.816035,5,staged,1
1,1,emergency_ramp,1,2,0.999119,0.00765,1.758308,0.062984,1.66595,1.858541,1.758264,1.842667,5,staged,1
2,1,imbalanced_ap_load,1,2,0.867867,0.390721,3.27823,3.192238,1.602006,9.660239,1.642394,8.098696,5,staged,1
3,2,emergency_ramp,2,2,0.996377,0.026447,1.752779,0.037787,1.686098,1.795598,1.756431,1.792639,5,staged,1
4,1,imbalanced_ap_load,1,2,0.99807,0.015323,3.296697,3.213474,1.638357,9.72311,1.711227,8.129556,5,staged,1
5,1,emergency_ramp,1,2,0.980506,0.096527,3.327844,3.158404,1.608524,9.641239,1.774561,8.097573,5,staged,1
6,2,imbalanced_ap_load,2,2,0.988615,0.065658,3.278597,3.183832,1.594784,9.644703,1.730413,8.074311,5,staged,1
7,1,emergency_ramp,1,2,0.998999,0.008609,1.736231,0.073165,1.62145,1.835153,1.748931,1.824216,5,staged,1
8,1,emergency_ramp,1,2,0.998937,0.009041,3.303996,3.206955,1.642636,9.717091,1.695042,8.132548,5,staged,1
9,1,emergency_ramp,1,2,0.998654,0.010799,3.297448,3.180126,1.623432,9.655128,1.709802,8.098603,5,staged,1
10,3,emergency_ramp,3,2,0.969102,0.137869,3.258122,3.231096,1.569858,9.719294,1.634246,8.124603,5,staged,1
11,1,lunch_restart,1,2,0.91062,0.301426,1.691854,0.088626,1.595895,1.841616,1.652246,1.821168,5,staged,1
12,0,imbalanced_ap_load,0,2,0.868039,0.390127,1.698302,0.06932,1.616617,1.825356,1.680635,1.800386,5,staged,1
13,2,emergency_ramp,1,3,0.629516,0.661343,3.55755,1.680997,2.644164,6.917038,2.705053,6.101126,5,staged,1
14,2,imbalanced_ap_load,2,2,0.989671,0.059348,1.767549,0.064494,1.672376,1.863504,1.755116,1.852274,5,staged,1
15,0,imbalanced_ap_load,0,3,0.618824,0.666129,2.676049,0.07255,2.594461,2.80583,2.643998,2.784023,5,staged,1
16,0,startup_surge,0,2,0.805369,0.4929,1.77926,0.062388,1.676524,1.862208,1.78306,1.853356,5,staged,1
17,2,emergency_ramp,2,2,0.777729,0.531278,1.693801,0.057605,1.625709,1.778616,1.688227,1.770201,5,staged,1
18,2,startup_surge,2,3,0.880443,0.375122,2.657376,0.11717,2.510333,2.837571,2.657738,2.814908,5,staged,1
19,1,lunch_restart,1,2,0.962364,0.160878,1.730727,0.093962,1.608339,1.85656,1.74906,1.84519,5,staged,1
20,2,imbalanced_ap_load,2,2,0.818932,0.473896,3.279064,3.206063,1.594544,9.689702,1.658283,8.112407,5,staged,1
21,3,emergency_ramp,3,3,0.88241,0.363987,2.704279,0.075094,2.611202,2.815996,2.707775,2.803096,5,staged,1
22,2,lunch_restart,2,2,0.983368,0.085545,1.749086,0.11719,1.614599,1.953244,1.74969,1.916726,5,staged,1
23,1,emergency_ramp,1,2,0.998602,0.011451,1.758768,0.063577,1.673987,1.849263,1.743875,1.841641,5,staged,1
24,1,lunch_restart,1,2,0.927947,0.259301,1.690391,0.0606,1.618284,1.783153,1.685839,1.772379,5,staged,1
25,2,lunch_restart,2,2,0.989154,0.061966,1.71335,0.086383,1.60858,1.838708,1.696505,1.827634,5,staged,1
26,1,imbalanced_ap_load,1,2,0.983941,0.082669,1.690438,0.101724,1.585543,1.860355,1.650617,1.837966,5,staged,1
27,0,emergency_ramp,0,3,0.599413,0.677334,2.685434,0.108239,2.513814,2.831329,2.660034,2.818114,5,staged,1
28,0,emergency_ramp,0,1,0.961129,0.164399,0.782394,0.117942,0.630199,0.974029,0.779679,0.945433,5,staged,1
29,1,startup_surge,1,2,0.998055,0.014843,1.738067,0.086345,1.623487,1.863744,1.761393,1.847181,5,staged,1
30,1,emergency_ramp,1,2,0.998893,0.009323,1.672043,0.074489,1.60771,1.814134,1.656413,1.784482,5,staged,1
31,1,startup_surge,1,2,0.95626,0.180047,1.736831,0.08929,1.640672,1.867448,1.686339,1.857678,5,staged,1
32,2,lunch_restart,2,2,0.996764,0.024021,1.749479,0.085592,1.634043,1.871856,1.781412,1.854941,5,staged,1
33,1,startup_surge,1,2,0.777357,0.530688,1.751056,0.087827,1.601154,1.851282,1.740819,1.846341,5,staged,1
34,1,imbalanced_ap_load,1,2,0.912799,0.296495,1.724464,0.070865,1.604636,1.819041,1.737209,1.806971,5,staged,1
35,1,imbalanced_ap_load,1,2,0.869403,0.387834,1.657209,0.103542,1.575025,1.856356,1.61845,1.81596,5,staged,1
36,2,emergency_ramp,2,2,0.763808,0.547714,1.755027,0.081969,1.653542,1.875097,1.750616,1.862901,5,staged,1
37,2,startup_surge,2,2,0.90385,0.318314,1.860178,0.120613,1.733283,2.07791,1.809801,2.041155,5,staged,1
38,1,startup_surge,1,2,0.993366,0.040348,1.74049,0.046607,1.659543,1.8018,1.745857,1.793859,5,staged,1
39,1,emergency_ramp,1,2,0.999173,0.007264,1.768557,0.065893,1.650969,1.826319,1.810356,1.82383,5,staged,1
