sample_id,true_label,scenario,predicted_label,exit_point,confidence,entropy,inference_ms,inference_std_ms,inference_min_ms,inference_max_ms,inference_p50_ms,inference_p95_ms,measurement_repeats,inference_mode,dynamic_theta
0,2,startup_surge,2,2,0.929514,0.256025,1.143546,0.04327,1.081473,1.193972,1.126657,1.193483,5,staged,1
1,1,emergency_ramp,1,2,0.999104,0.007759,1.250049,0.076173,1.173676,1.371434,1.199806,1.358549,5,staged,1
2,1,imbalanced_ap_load,1,2,0.849192,0.4244,1.185498,0.061787,1.122473,1.296008,1.177454,1.276382,5,staged,1
3,2,emergency_ramp,2,2,0.99641,0.026231,1.214127,0.103178,1.097824,1.397915,1.214361,1.362908,5,staged,1
4,1,imbalanced_ap_load,1,2,0.998068,0.015336,1.224391,0.106063,1.130492,1.431582,1.182194,1.385001,5,staged,1
5,1,emergency_ramp,1,2,0.974885,0.117784,1.182713,0.094865,1.088732,1.357767,1.159621,1.325089,5,staged,1
6,2,imbalanced_ap_load,2,2,0.987949,0.06854,2.785259,3.211537,1.111769,9.20639,1.150065,7.631336,5,staged,1
7,1,emergency_ramp,1,2,0.998973,0.008808,1.213835,0.108785,1.098232,1.419952,1.185195,1.375971,5,staged,1
8,1,emergency_ramp,1,2,0.998884,0.009413,1.191624,0.061291,1.122954,1.297397,1.188472,1.279619,5,staged,1
9,1,emergency_ramp,1,2,0.998711,0.01044,1.186009,0.101807,1.084473,1.354341,1.138694,1.333389,5,staged,1
10,3,emergency_ramp,3,2,0.967049,0.144873,1.209772,0.074173,1.153991,1.352897,1.168602,1.324453,5,staged,1
11,1,lunch_restart,1,2,0.902575,0.319712,1.168484,0.085436,1.092288,1.331027,1.131917,1.299361,5,staged,1
12,0,imbalanced_ap_load,0,2,0.887844,0.351026,1.220653,0.042179,1.173657,1.29973,1.206287,1.28333,5,staged,1
13,2,emergency_ramp,1,3,0.630215,0.660974,1.856371,0.124344,1.750819,2.08478,1.786486,2.046217,5,staged,1
14,2,imbalanced_ap_load,2,2,0.989999,0.057809,1.213687,0.085766,1.153898,1.381823,1.172899,1.345886,5,staged,1
15,0,imbalanced_ap_load,0,2,0.755613,0.556125,1.22989,0.057963,1.164176,1.337619,1.222009,1.314804,5,staged,1
16,0,startup_surge,0,2,0.834234,0.449136,1.182083,0.069957,1.11301,1.279489,1.147009,1.274067,5,staged,1
17,2,emergency_ramp,2,2,0.778097,0.530811,1.208094,0.118881,1.082714,1.432951,1.167584,1.386563,5,staged,1
18,2,startup_surge,2,2,0.734531,0.579632,1.186898,0.069312,1.103658,1.291416,1.176547,1.280375,5,staged,1
19,1,lunch_restart,1,2,0.956035,0.180859,1.189628,0.107089,1.066788,1.366804,1.178343,1.341067,5,staged,1
20,2,imbalanced_ap_load,2,2,0.800247,0.5009,1.204739,0.07587,1.140176,1.33986,1.166658,1.318945,5,staged,1
21,3,emergency_ramp,3,3,0.873769,0.381165,1.831045,0.066238,1.752356,1.915226,1.806504,1.912845,5,staged,1
22,2,lunch_restart,2,2,0.983054,0.086789,1.189109,0.118736,1.066899,1.402582,1.185084,1.362267,5,staged,1
23,1,emergency_ramp,1,2,0.9986,0.011477,1.186876,0.082246,1.110195,1.341545,1.159268,1.311879,5,staged,1
24,1,lunch_restart,1,2,0.929235,0.255993,1.165987,0.12731,1.041214,1.38723,1.114287,1.354534,5,staged,1
25,2,lunch_restart,2,2,0.990423,0.056178,1.198346,0.060946,1.151954,1.314193,1.160787,1.292482,5,staged,1
26,1,imbalanced_ap_load,1,2,0.985076,0.077962,1.162343,0.0791,1.079899,1.286249,1.119121,1.273697,5,staged,1
27,0,emergency_ramp,0,3,0.609419,0.672987,1.803263,0.07287,1.723005,1.897559,1.782671,1.894033,5,staged,1
28,0,emergency_ramp,0,1,0.960283,0.167103,0.572873,0.085055,0.513644,0.739827,0.529458,0.704098,5,staged,1
29,1,startup_surge,1,2,0.998104,0.01454,1.191139,0.098955,1.07514,1.364952,1.197009,1.33186,5,staged,1
30,1,emergency_ramp,1,2,0.998885,0.009392,1.250509,0.096737,1.152565,1.419396,1.207398,1.394174,5,staged,1
31,1,startup_surge,1,2,0.953463,0.188586,2.74656,3.172237,1.052659,9.087521,1.170806,7.540092,5,staged,1
32,2,lunch_restart,2,2,0.996811,0.023692,1.179576,0.078448,1.100602,1.282842,1.141917,1.279249,5,staged,1
33,1,startup_surge,1,2,0.777498,0.530505,1.195187,0.114581,1.070621,1.410026,1.167843,1.365752,5,staged,1
