sample_id,true_label,scenario,predicted_label,exit_point,confidence,entropy,inference_ms,inference_std_ms,inference_min_ms,inference_max_ms,inference_p50_ms,inference_p95_ms,measurement_repeats,inference_mode,dynamic_theta
0,2,startup_surge,2,2,0.93087,0.252548,3.531603,3.64731,1.646932,10.824567,1.664451,9.031332,5,staged,0
1,1,emergency_ramp,1,2,0.999119,0.00765,1.705254,0.118329,1.555303,1.894412,1.726562,1.864283,5,staged,0
2,1,imbalanced_ap_load,1,2,0.867867,0.390721,3.25955,3.216428,1.586803,9.690983,1.645396,8.108184,5,staged,0
3,2,emergency_ramp,2,2,0.996377,0.026447,1.663888,0.088466,1.574988,1.823746,1.652432,1.794509,5,staged,0
4,1,imbalanced_ap_load,1,2,0.99807,0.015323,2.805064,2.187415,1.66758,7.179114,1.717691,6.100192,5,staged,0
5,1,emergency_ramp,1,2,0.980506,0.096527,1.706513,0.062409,1.615432,1.804283,1.695691,1.790609,5,staged,0
6,2,imbalanced_ap_load,2,2,0.988615,0.065658,1.681114,0.097188,1.535508,1.803635,1.726987,1.790005,5,staged,0
7,1,emergency_ramp,1,2,0.998999,0.008609,4.20132,3.232951,1.591747,9.822019,1.948726,9.034236,5,staged,0
8,1,emergency_ramp,1,2,0.998937,0.009041,1.723154,0.091392,1.562877,1.805431,1.778654,1.802153,5,staged,0
9,1,emergency_ramp,1,2,0.998654,0.010799,1.617844,0.146985,1.507841,1.905634,1.541415,1.844453,5,staged,0
10,3,emergency_ramp,3,2,0.969102,0.137869,3.30155,3.205685,1.57647,9.709928,1.759784,8.137429,5,staged,0
11,1,lunch_restart,1,2,0.91062,0.301426,1.678476,0.085135,1.547692,1.77432,1.685247,1.771757,5,staged,0
12,0,imbalanced_ap_load,0,2,0.868039,0.390127,1.680202,0.143093,1.526804,1.947282,1.648358,1.893623,5,staged,0
13,2,emergency_ramp,1,3,0.629516,0.661343,2.86746,0.271351,2.574907,3.346067,2.875553,3.257234,5,staged,0
14,2,imbalanced_ap_load,2,2,0.989671,0.059348,1.710121,0.078119,1.577433,1.806376,1.732468,1.796335,5,staged,0
15,0,imbalanced_ap_load,0,3,0.618824,0.666129,4.217087,3.186231,2.552185,10.587514,2.594573,9.025655,5,staged,0
16,0,startup_surge,0,2,0.805369,0.4929,1.643647,0.123144,1.546136,1.885912,1.594988,1.831416,5,staged,0
17,2,emergency_ramp,2,2,0.777729,0.531278,3.313516,3.185422,1.590544,9.681502,1.787134,8.116977,5,staged,0
18,2,startup_surge,2,3,0.880443,0.375122,4.201251,3.170506,2.550204,10.540867,2.621833,8.979845,5,staged,0
19,1,lunch_restart,1,2,0.962364,0.160878,3.25842,3.208607,1.595321,9.674095,1.620507,8.097203,5,staged,0
20,2,imbalanced_ap_load,2,2,0.818932,0.473896,3.251435,3.17298,1.553656,9.59491,1.723932,8.035407,5,staged,0
21,3,emergency_ramp,3,3,0.88241,0.363987,2.605984,0.133267,2.456945,2.846701,2.573925,2.803401,5,staged,0
22,2,lunch_restart,2,2,0.983368,0.085545,3.242646,3.182007,1.565007,9.604984,1.653729,8.04051,5,staged,0
23,1,emergency_ramp,1,2,0.998602,0.011451,1.717558,0.066165,1.617988,1.82082,1.705117,1.805772,5,staged,0
24,1,lunch_restart,1,2,0.927947,0.259301,1.66121,0.079153,1.549359,1.775894,1.675747,1.761516,5,staged,0
25,2,lunch_restart,2,2,0.989154,0.061966,3.256409,3.239116,1.586711,9.733298,1.602081,8.139547,5,staged,0
26,1,imbalanced_ap_load,1,2,0.983941,0.082669,3.247232,3.167253,1.536193,9.578892,1.690302,8.027518,5,staged,0
27,0,emergency_ramp,0,3,0.599413,0.677334,2.596658,0.1351,2.430871,2.838442,2.592851,2.790209,5,staged,0
28,0,emergency_ramp,0,1,0.961129,0.164399,0.638062,0.103893,0.567737,0.842772,0.58644,0.798087,5,staged,0
29,1,startup_surge,1,2,0.998055,0.014843,1.697091,0.084255,1.561026,1.810523,1.690543,1.799294,5,staged,0
30,1,emergency_ramp,1,2,0.998893,0.009323,3.271272,3.007473,1.736061,9.286005,1.792042,7.788679,5,staged,0
31,1,startup_surge,1,2,0.95626,0.180047,1.773961,0.083962,1.686024,1.923745,1.745487,1.899067,5,staged,0
32,2,lunch_restart,2,2,0.996764,0.024021,3.254639,3.189631,1.531896,9.631428,1.739617,8.059721,5,staged,0
33,1,startup_surge,1,2,0.777357,0.530688,1.677195,0.083105,1.549507,1.798357,1.683006,1.782579,5,staged,0
34,1,imbalanced_ap_load,1,2,0.912799,0.296495,1.704091,0.109093,1.585914,1.906319,1.691728,1.864905,5,staged,0
35,1,imbalanced_ap_load,1,2,0.869403,0.387834,1.672854,0.085787,1.553396,1.798135,1.64971,1.785898,5,staged,0
36,2,emergency_ramp,2,2,0.763808,0.547714,1.63481,0.118571,1.526415,1.854653,1.569618,1.815953,5,staged,0
37,2,startup_surge,2,2,0.90385,0.318314,1.701447,0.11078,1.57147,1.893468,1.685914,1.861613,5,staged,0
38,1,startup_surge,1,2,0.993366,0.040348,1.671177,0.083694,1.555489,1.803542,1.677803,1.783461,5,staged,0
39,1,emergency_ramp,1,2,0.999173,0.007264,1.679258,0.071449,1.589007,1.804783,1.662025,1.782698,5,staged,0
40,1,imbalanced_ap_load,1,2,0.989033,0.060953,1.733739,0.094274,1.61221,1.883486,1.696413,1.865227,5,staged,0
41,0,lunch_restart,0,2,0.99884,0.009003,1.644336,0.040832,1.59084,1.705691,1.656321,1.696669,5,staged,0
42,2,startup_surge,2,2,0.972806,0.126929,3.241298,3.168968,1.561674,9.576484,1.676617,8.025292,5,staged,0
43,0,emergency_ramp,0,1,0.912726,0.296636,0.681058,0.132264,0.571607,0.923512,0.608237,0.882853,5,staged,0
44,1,startup_surge,1,2,0.99847,0.012105,1.658543,0.082715,1.542432,1.734006,1.711858,1.73321,5,staged,0
45,0,imbalanced_ap_load,0,2,0.99579,0.027233,3.259998,3.205128,1.596507,9.669076,1.67158,8.088173,5,staged,0
46,1,imbalanced_ap_load,1,2,0.999003,0.008523,1.658958,0.092396,1.561914,1.824838,1.657617,1.793246,5,staged,0
47,1,imbalanced_ap_load,1,2,0.991769,0.048063,1.660514,0.089914,1.553174,1.791543,1.665191,1.777539,5,staged,0
48,1,startup_surge,1,2,0.998633,0.011009,1.605432,0.085198,1.528155,1.769672,1.56984,1.735587,5,staged,0
49,2,imbalanced_ap_load,2,2,0.733604,0.580684,1.677662,0.095618,1.555063,1.808949,1.663377,1.799516,5,staged,0
50,2,startup_surge,2,2,0.973198,0.125089,1.670369,0.076186,1.55847,1.777524,1.654487,1.767698,5,staged,0
51,1,startup_surge,1,2,0.987416,0.067912,1.616806,0.039102,1.570025,1.663728,1.596766,1.663621,5,staged,0
52,1,imbalanced_ap_load,1,2,0.873323,0.380388,1.63994,0.076413,1.560155,1.740024,1.600211,1.736813,5,staged,0
53,0,lunch_restart,0,2,0.981395,0.092561,1.670425,0.07313,1.589636,1.801024,1.639599,1.779372,5,staged,0
54,1,imbalanced_ap_load,1,2,0.998104,0.014376,2.438345,1.640854,1.540544,5.716606,1.59471,4.925341,5,staged,0
55,1,imbalanced_ap_load,1,2,0.988989,0.061026,1.668232,0.079912,1.561785,1.77445,1.630433,1.76898,5,staged,0
56,0,lunch_restart,0,1,0.95757,0.175682,0.731969,0.102662,0.624162,0.926178,0.712458,0.884493,5,staged,0
57,1,lunch_restart,1,2,0.995278,0.030683,1.613347,0.066827,1.541988,1.714839,1.577637,1.705724,5,staged,0
58,2,startup_surge,2,2,0.988463,0.065031,1.67585,0.103062,1.562322,1.811301,1.621321,1.806638,5,staged,0
59,1,lunch_restart,1,2,0.995051,0.031636,2.405156,1.591216,1.535933,5.583866,1.593451,4.818123,5,staged,0
60,2,lunch_restart,2,2,0.853634,0.41826,1.668443,0.089979,1.552081,1.780005,1.646618,1.776887,5,staged,0
61,1,emergency_ramp,1,2,0.998782,0.010222,2.448463,1.61692,1.575451,5.68018,1.663451,4.891642,5,staged,0
62,1,emergency_ramp,1,2,0.997083,0.020717,1.667173,0.130091,1.547692,1.918096,1.626229,1.864534,5,staged,0
63,2,imbalanced_ap_load,2,2,0.907698,0.308769,2.428185,1.608387,1.560469,5.641773,1.593932,4.865779,5,staged,0
64,0,emergency_ramp,0,2,0.998318,0.012423,1.671521,0.069573,1.598136,1.802154,1.646191,1.776302,5,staged,0
65,2,startup_surge,2,2,0.804157,0.495344,2.446111,1.641968,1.538155,5.725717,1.601488,4.937489,5,staged,0
66,2,emergency_ramp,2,2,0.907759,0.309007,2.395827,1.588461,1.540711,5.569477,1.571767,4.80372,5,staged,0
67,2,imbalanced_ap_load,2,2,0.997756,0.017482,1.675065,0.092437,1.554766,1.790301,1.655081,1.786645,5,staged,0
68,0,imbalanced_ap_load,0,2,0.957311,0.176412,2.42373,1.619814,1.565359,5.661087,1.590155,4.875015,5,staged,0
