sample_id,true_label,scenario,predicted_label,exit_point,confidence,entropy,inference_ms,inference_std_ms,inference_min_ms,inference_max_ms,inference_p50_ms,inference_p95_ms,measurement_repeats,inference_mode,dynamic_theta
0,2,startup_surge,2,2,0.929514,0.256025,2.735916,3.237437,1.083158,9.210522,1.110843,7.602745,5,staged,0
1,1,emergency_ramp,1,2,0.999104,0.007759,1.243816,0.147198,1.091788,1.510377,1.179676,1.465281,5,staged,0
2,1,imbalanced_ap_load,1,2,0.849192,0.4244,1.165702,0.070028,1.091121,1.254879,1.133158,1.252827,5,staged,0
3,2,emergency_ramp,2,2,0.99641,0.026231,1.149795,0.108935,1.031307,1.34186,1.156806,1.305497,5,staged,0
4,1,imbalanced_ap_load,1,2,0.998068,0.015336,1.175387,0.097069,1.088343,1.362415,1.147324,1.322678,5,staged,0
5,1,emergency_ramp,1,2,0.974885,0.117784,1.137499,0.106331,1.033122,1.323675,1.078029,1.296198,5,staged,0
6,2,imbalanced_ap_load,2,2,0.987949,0.06854,1.21638,0.093432,1.122843,1.35386,1.169861,1.343253,5,staged,0
7,1,emergency_ramp,1,2,0.998973,0.008808,2.725501,3.185565,1.042973,9.093541,1.094658,7.539416,5,staged,0
8,1,emergency_ramp,1,2,0.998884,0.009413,1.160606,0.066045,1.087325,1.249953,1.121455,1.245931,5,staged,0
9,1,emergency_ramp,1,2,0.998711,0.01044,1.145028,0.108848,1.029048,1.343822,1.134862,1.305197,5,staged,0
10,3,emergency_ramp,3,2,0.967049,0.144873,1.225294,0.129907,1.122677,1.473952,1.151602,1.425897,5,staged,0
11,1,lunch_restart,1,2,0.902575,0.319712,1.15438,0.138712,1.01653,1.408193,1.100881,1.363808,5,staged,0
12,0,imbalanced_ap_load,0,2,0.887844,0.351026,1.174291,0.073953,1.108473,1.313619,1.14338,1.28739,5,staged,0
13,2,emergency_ramp,1,3,0.630215,0.660974,2.495799,1.363362,1.679839,5.206849,1.80332,4.583246,5,staged,0
14,2,imbalanced_ap_load,2,2,0.989999,0.057809,1.205106,0.124286,1.093806,1.435267,1.174454,1.392282,5,staged,0
15,0,imbalanced_ap_load,0,2,0.755613,0.556125,1.147076,0.096752,1.017788,1.270527,1.141399,1.264164,5,staged,0
16,0,startup_surge,0,2,0.834234,0.449136,1.165735,0.116845,1.086473,1.392878,1.094565,1.346678,5,staged,0
17,2,emergency_ramp,2,2,0.778097,0.530811,1.155947,0.05117,1.091085,1.227046,1.134547,1.222413,5,staged,0
18,2,startup_surge,2,2,0.734531,0.579632,1.178783,0.12098,1.058122,1.369582,1.112213,1.349923,5,staged,0
19,1,lunch_restart,1,2,0.956035,0.180859,1.196198,0.07864,1.137621,1.348657,1.150269,1.317813,5,staged,0
20,2,imbalanced_ap_load,2,2,0.800247,0.5009,1.116395,0.086022,1.033158,1.267564,1.086344,1.244123,5,staged,0
21,3,emergency_ramp,3,3,0.873769,0.381165,3.404285,3.185177,1.696135,9.772554,1.857245,8.20501,5,staged,0
22,2,lunch_restart,2,2,0.983054,0.086789,1.127095,0.09067,1.044918,1.290434,1.071454,1.264434,5,staged,0
23,1,emergency_ramp,1,2,0.9986,0.011477,1.181321,0.091594,1.082992,1.3481,1.152954,1.318293,5,staged,0
24,1,lunch_restart,1,2,0.929235,0.255993,2.763549,3.290915,1.088547,9.345299,1.13064,7.70323,5,staged,0
25,2,lunch_restart,2,2,0.990423,0.056178,1.134258,0.146443,1.014104,1.412544,1.048196,1.360019,5,staged,0
26,1,imbalanced_ap_load,1,2,0.985076,0.077962,1.173954,0.070744,1.110935,1.310953,1.154991,1.280916,5,staged,0
27,0,emergency_ramp,0,3,0.609419,0.672987,1.756468,0.08872,1.662247,1.906596,1.717431,1.886085,5,staged,0
28,0,emergency_ramp,0,1,0.960283,0.167103,0.62591,0.087075,0.542033,0.745013,0.576847,0.73942,5,staged,0
29,1,startup_surge,1,2,0.998104,0.01454,1.165472,0.081491,1.073214,1.285749,1.121121,1.276075,5,staged,0
30,1,emergency_ramp,1,2,0.998885,0.009392,1.174765,0.116861,1.050715,1.39423,1.143343,1.34976,5,staged,0
31,1,startup_surge,1,2,0.953463,0.188586,1.147009,0.059413,1.070492,1.225064,1.136361,1.220897,5,staged,0
32,2,lunch_restart,2,2,0.996811,0.023692,1.122899,0.111038,1.007585,1.321897,1.105473,1.286653,5,staged,0
33,1,startup_surge,1,2,0.777498,0.530505,1.213383,0.112025,1.082103,1.370897,1.214269,1.356849,5,staged,0
34,1,imbalanced_ap_load,1,2,0.91377,0.294215,1.139202,0.12037,1.0129,1.326934,1.075732,1.308149,5,staged,0
35,1,imbalanced_ap_load,1,2,0.86331,0.399224,1.159229,0.070246,1.096751,1.295046,1.133455,1.266372,5,staged,0
36,2,emergency_ramp,2,2,0.779934,0.528077,1.107136,0.098517,1.015547,1.288101,1.050437,1.257175,5,staged,0
37,2,startup_surge,2,2,0.906712,0.311831,1.22722,0.074908,1.139602,1.353378,1.191935,1.335838,5,staged,0
38,1,startup_surge,1,2,0.993221,0.041077,1.139999,0.070472,1.052011,1.232805,1.122158,1.228253,5,staged,0
39,1,emergency_ramp,1,2,0.999167,0.007311,2.757386,3.282252,1.086566,9.32178,1.125806,7.686211,5,staged,0
40,1,imbalanced_ap_load,1,2,0.988383,0.063866,1.093339,0.112606,1.001529,1.303119,1.036325,1.26589,5,staged,0
41,0,lunch_restart,0,2,0.998825,0.009098,1.225453,0.091101,1.124732,1.346101,1.177287,1.341575,5,staged,0
42,2,startup_surge,2,2,0.974928,0.119252,1.108869,0.105793,1.011492,1.300879,1.0489,1.269416,5,staged,0
43,0,emergency_ramp,0,2,0.998948,0.008266,1.164602,0.053156,1.113158,1.264694,1.158528,1.243642,5,staged,0
44,1,startup_surge,1,2,0.998388,0.012645,1.118725,0.077781,1.050177,1.258879,1.079325,1.236387,5,staged,0
45,0,imbalanced_ap_load,0,2,0.996015,0.025994,1.173128,0.096683,1.058769,1.350027,1.144306,1.315675,5,staged,0
46,1,imbalanced_ap_load,1,2,0.998964,0.008802,1.122787,0.046297,1.07551,1.19649,1.097047,1.18859,5,staged,0
47,1,imbalanced_ap_load,1,2,0.992117,0.046399,1.147065,0.103496,1.027195,1.325267,1.156417,1.292912,5,staged,0
48,1,startup_surge,1,2,0.998579,0.011376,1.159673,0.043716,1.10577,1.239509,1.152676,1.222628,5,staged,0
49,2,imbalanced_ap_load,2,2,0.715608,0.598036,1.146932,0.146972,1.007178,1.398211,1.07977,1.363437,5,staged,0
50,2,startup_surge,2,2,0.971841,0.129887,2.745219,3.20778,1.080473,9.158651,1.102603,7.587159,5,staged,0
51,1,startup_surge,1,2,0.988341,0.063844,1.161432,0.076862,1.079807,1.300601,1.130658,1.276727,5,staged,0
52,1,imbalanced_ap_load,1,2,0.863782,0.398405,1.128117,0.072373,1.036381,1.222398,1.099159,1.218591,5,staged,0
53,0,lunch_restart,0,2,0.983076,0.085817,1.202169,0.08055,1.099547,1.339046,1.196213,1.316242,5,staged,0
54,1,imbalanced_ap_load,1,2,0.998146,0.014127,1.142943,0.066074,1.075214,1.26136,1.133658,1.240282,5,staged,0
55,1,imbalanced_ap_load,1,2,0.989139,0.060352,1.108332,0.109417,1.010196,1.31399,1.069621,1.274998,5,staged,0
56,0,lunch_restart,0,1,0.957437,0.176096,0.545125,0.09928,0.482274,0.741365,0.491644,0.69805,5,staged,0
57,1,lunch_restart,1,2,0.995157,0.031326,1.141132,0.095904,1.064047,1.328268,1.107084,1.287665,5,staged,0
58,2,startup_surge,2,2,0.989271,0.061398,1.920433,1.58249,1.043585,5.082202,1.196083,4.31013,5,staged,0
59,1,lunch_restart,1,2,0.99548,0.029355,1.12148,0.096111,1.026289,1.304194,1.099269,1.265842,5,staged,0
60,2,lunch_restart,2,2,0.865394,0.396979,1.118273,0.069744,1.042159,1.238694,1.08951,1.220902,5,staged,0
61,1,emergency_ramp,1,2,0.998774,0.010284,1.126091,0.073449,1.032455,1.212361,1.097566,1.212339,5,staged,0
62,1,emergency_ramp,1,2,0.996674,0.023077,1.182231,0.12719,1.030066,1.407526,1.13638,1.369226,5,staged,0
63,2,imbalanced_ap_load,2,2,0.902987,0.319368,1.097666,0.097206,1.009789,1.27325,1.039899,1.245046,5,staged,0
64,0,emergency_ramp,0,2,0.998295,0.012571,1.111254,0.096826,1.011233,1.291804,1.100455,1.254597,5,staged,0
65,2,startup_surge,2,2,0.792188,0.51177,1.156065,0.119992,1.056195,1.390267,1.109418,1.339445,5,staged,0
66,2,emergency_ramp,2,2,0.906277,0.312348,1.11718,0.043921,1.070362,1.195824,1.10651,1.182294,5,staged,0
67,2,imbalanced_ap_load,2,2,0.997814,0.01708,1.123358,0.093292,1.012918,1.235805,1.09251,1.234805,5,staged,0
68,0,imbalanced_ap_load,0,2,0.960772,0.165495,1.108251,0.108283,1.004863,1.309638,1.080529,1.271435,5,staged,0
69,0,lunch_restart,0,1,0.98904,0.060375,0.533963,0.076057,0.484737,0.68418,0.495589,0.651043,5,staged,0
70,1,startup_surge,1,2,0.936963,0.235615,1.126673,0.052819,1.040677,1.202342,1.126399,1.192198,5,staged,0
71,2,emergency_ramp,2,2,0.987403,0.069027,1.110117,0.114787,0.998548,1.293786,1.059733,1.273279,5,staged,0
72,2,lunch_restart,2,2,0.743374,0.57047,1.093984,0.0968,0.995529,1.261008,1.060121,1.23639,5,staged,0
73,3,startup_surge,3,2,0.779084,0.528345,1.113118,0.110889,1.025381,1.327379,1.082529,1.281772,5,staged,0
74,1,imbalanced_ap_load,1,3,0.727612,0.588115,1.731842,0.07738,1.652488,1.86993,1.708913,1.846986,5,staged,0
75,2,emergency_ramp,2,2,0.991069,0.054045,2.727564,3.182741,1.029251,9.089263,1.106343,7.540271,5,staged,0
76,1,emergency_ramp,1,2,0.871798,0.383219,1.183569,0.045131,1.128417,1.236768,1.179417,1.235987,5,staged,0
77,1,emergency_ramp,1,2,0.998229,0.013646,1.128028,0.088494,1.034048,1.287583,1.105528,1.25965,5,staged,0
78,2,emergency_ramp,1,3,0.539675,0.692006,1.793894,0.105624,1.68121,1.975466,1.762134,1.948414,5,staged,0
79,1,imbalanced_ap_load,1,2,0.998942,0.008966,1.169717,0.070002,1.082399,1.267509,1.131454,1.261183,5,staged,0
80,2,imbalanced_ap_load,2,2,0.967695,0.144374,1.140135,0.095452,1.038973,1.315509,1.107713,1.283524,5,staged,0
81,0,lunch_restart,0,1,0.971939,0.127977,0.610529,0.069004,0.543106,0.725995,0.584181,0.710732,5,staged,0
82,1,lunch_restart,1,2,0.988004,0.065841,1.14185,0.094277,1.070899,1.323174,1.088381,1.287623,5,staged,0
83,0,imbalanced_ap_load,0,3,0.536989,0.693134,1.722968,0.058462,1.666783,1.824431,1.698654,1.809561,5,staged,0
84,3,emergency_ramp,3,2,0.946463,0.20884,2.730875,3.219372,1.00851,9.165707,1.112213,7.598441,5,staged,0
85,1,imbalanced_ap_load,1,2,0.997853,0.015874,1.173195,0.080563,1.066732,1.295045,1.141473,1.282438,5,staged,0
86,1,imbalanced_ap_load,2,3,0.638231,0.656209,1.719746,0.102299,1.642951,1.919207,1.690561,1.8753,5,staged,0
87,1,emergency_ramp,1,2,0.905793,0.312619,1.183232,0.099036,1.080344,1.35736,1.174435,1.327342,5,staged,0
88,2,imbalanced_ap_load,2,2,0.758479,0.553862,1.202083,0.066741,1.126102,1.288564,1.192973,1.284497,5,staged,0
89,2,imbalanced_ap_load,2,2,0.995123,0.033128,1.167265,0.115674,1.074158,1.392286,1.125269,1.344279,5,staged,0
90,1,lunch_restart,1,2,0.975626,0.115294,1.146654,0.047291,1.078492,1.201398,1.129936,1.200954,5,staged,0
91,1,imbalanced_ap_load,1,2,0.993541,0.039609,1.131913,0.093085,1.048251,1.313342,1.097602,1.272798,5,staged,0
92,2,emergency_ramp,2,2,0.964661,0.153953,2.785904,3.267262,1.043955,9.315928,1.132232,7.728896,5,staged,0
93,2,lunch_restart,2,2,0.990593,0.055637,1.171302,0.092385,1.081899,1.328564,1.128899,1.307079,5,staged,0
94,2,imbalanced_ap_load,2,2,0.850257,0.423338,1.152076,0.085933,1.071122,1.296601,1.123417,1.276894,5,staged,0
95,1,lunch_restart,1,3,0.857655,0.411651,1.733679,0.123515,1.597432,1.958782,1.707524,1.916867,5,staged,0
96,2,startup_surge,2,2,0.971604,0.130913,1.232779,0.112716,1.081714,1.352063,1.280657,1.34853,5,staged,0
97,1,lunch_restart,1,2,0.998266,0.013392,1.130324,0.0919,1.039566,1.298508,1.087325,1.269508,5,staged,0
98,2,startup_surge,2,2,0.735519,0.578546,1.161717,0.08996,1.072622,1.311379,1.104158,1.292816,5,staged,0
99,2,startup_surge,2,2,0.984989,0.080265,1.134843,0.07223,1.042752,1.237657,1.127898,1.228531,5,staged,0
100,1,imbalanced_ap_load,1,2,0.99883,0.009796,1.162672,0.104053,1.078862,1.365841,1.117732,1.322338,5,staged,0
101,1,lunch_restart,1,2,0.975395,0.115788,2.724442,3.244153,1.005381,9.210929,1.158713,7.611352,5,staged,0
102,2,imbalanced_ap_load,2,2,0.995165,0.032719,1.177735,0.094814,1.079973,1.35436,1.144972,1.320842,5,staged,0
103,2,lunch_restart,2,2,0.981225,0.095067,1.123151,0.092234,1.017918,1.241805,1.085492,1.238201,5,staged,0
104,1,startup_surge,1,2,0.997421,0.018732,1.168184,0.093743,1.065362,1.320879,1.145417,1.301168,5,staged,0
105,0,emergency_ramp,0,2,0.864945,0.395926,1.168136,0.123334,1.052973,1.396156,1.127825,1.354738,5,staged,0
106,1,lunch_restart,1,2,0.952278,0.192149,1.148191,0.115817,1.071066,1.376341,1.085085,1.32686,5,staged,0
107,0,startup_surge,0,2,0.970022,0.13467,1.142839,0.046479,1.082788,1.209638,1.12351,1.20429,5,staged,0
108,1,emergency_ramp,1,2,0.904296,0.31587,1.11628,0.089676,1.026751,1.287916,1.092955,1.250753,5,staged,0
109,3,startup_surge,3,2,0.903384,0.317657,1.183235,0.049056,1.117158,1.243306,1.207935,1.237513,5,staged,0
110,1,lunch_restart,1,2,0.984455,0.081139,1.101366,0.100832,0.996011,1.277953,1.069936,1.250294,5,staged,0
111,1,startup_surge,1,2,0.997702,0.017001,1.176913,0.088991,1.089085,1.340304,1.138843,1.311667,5,staged,0
112,2,imbalanced_ap_load,2,2,0.949375,0.201805,1.089077,0.102598,1.001937,1.286046,1.040158,1.246876,5,staged,0
113,1,startup_surge,1,2,0.998946,0.009009,1.194098,0.10054,1.084473,1.374045,1.158139,1.343849,5,staged,0
114,2,lunch_restart,2,2,0.987086,0.071077,1.152058,0.08125,1.046307,1.281416,1.16738,1.260705,5,staged,0
115,1,emergency_ramp,1,2,0.996531,0.023494,1.143573,0.06292,1.073029,1.235824,1.111843,1.228624,5,staged,0
116,2,imbalanced_ap_load,2,2,0.995515,0.031168,1.127947,0.061245,1.044955,1.228065,1.139176,1.210335,5,staged,0
117,1,startup_surge,1,2,0.982427,0.088977,1.087418,0.091274,0.993881,1.22401,1.045715,1.212373,5,staged,0
118,2,imbalanced_ap_load,2,2,0.983809,0.085892,1.154051,0.086139,1.028233,1.260139,1.140806,1.255854,5,staged,0
119,2,startup_surge,2,2,0.995975,0.028941,1.123795,0.096527,1.024455,1.307527,1.102991,1.267605,5,staged,0
120,1,imbalanced_ap_load,1,2,0.854874,0.41457,1.111429,0.068019,1.035104,1.22712,1.079862,1.210813,5,staged,0
121,1,imbalanced_ap_load,1,2,0.997646,0.017317,1.13164,0.081315,1.023677,1.24425,1.106936,1.236313,5,staged,0
122,1,imbalanced_ap_load,1,2,0.988936,0.06123,1.096443,0.091703,1.00777,1.261397,1.04727,1.234849,5,staged,0
123,2,startup_surge,2,2,0.890264,0.347341,1.076784,0.095242,0.996215,1.257453,1.046233,1.221942,5,staged,0
