sample_id,true_label,scenario,predicted_label,exit_point,confidence,inference_ms
0,2,startup_surge,2,2,0.97098,1.384034
1,1,emergency_ramp,1,1,0.957274,1.513329
2,1,imbalanced_ap_load,1,2,0.946922,1.494477
3,2,emergency_ramp,2,1,0.881994,1.491773
4,1,imbalanced_ap_load,1,1,0.958831,1.463848
5,1,emergency_ramp,1,2,0.994411,1.56168
6,2,imbalanced_ap_load,2,2,0.993352,1.473699
7,1,emergency_ramp,1,1,0.946557,1.511829
8,1,emergency_ramp,1,1,0.950767,1.470107
9,1,emergency_ramp,1,1,0.944313,1.496347
10,3,emergency_ramp,3,2,0.993092,1.481996
11,1,lunch_restart,1,3,0.903649,1.530995
12,0,imbalanced_ap_load,0,2,0.951191,1.458978
13,2,emergency_ramp,1,3,0.885603,1.58805
14,2,imbalanced_ap_load,2,2,0.997374,1.464052
15,0,imbalanced_ap_load,0,3,0.545425,1.570976
16,0,startup_surge,0,2,0.85756,1.471699
17,2,emergency_ramp,2,2,0.898233,1.508514
18,2,startup_surge,2,3,0.935242,1.470404
19,1,lunch_restart,1,2,0.983249,1.513588
20,2,imbalanced_ap_load,2,3,0.876169,1.471292
21,3,emergency_ramp,3,3,0.955262,1.563236
22,2,lunch_restart,2,2,0.994372,1.481181
23,1,emergency_ramp,1,1,0.945305,1.511607
24,1,lunch_restart,1,2,0.990799,1.493829
25,2,lunch_restart,2,1,0.851189,1.449459
26,1,imbalanced_ap_load,1,1,0.887626,1.505088
27,0,emergency_ramp,0,2,0.878244,1.453126
28,0,emergency_ramp,0,1,0.990034,1.525995
29,1,startup_surge,1,1,0.953431,1.468552
30,1,emergency_ramp,1,1,0.944626,1.521643
31,1,startup_surge,1,2,0.992602,1.493311
32,2,lunch_restart,2,1,0.866959,1.55455
33,1,startup_surge,1,2,0.886709,1.492366
34,1,imbalanced_ap_load,1,2,0.877191,1.516459
35,1,imbalanced_ap_load,1,2,0.866924,1.434959
36,2,emergency_ramp,3,3,0.885386,1.529476
37,2,startup_surge,2,2,0.917079,1.477756
38,1,startup_surge,1,1,0.922361,1.541254
39,1,emergency_ramp,1,1,0.949464,1.478033
40,1,imbalanced_ap_load,1,1,0.89234,1.474125
41,0,lunch_restart,0,1,0.955138,1.497958
42,2,startup_surge,2,2,0.995826,1.475699
43,0,emergency_ramp,0,1,0.958616,1.549106
44,1,startup_surge,1,1,0.939912,1.43033
45,0,imbalanced_ap_load,0,1,0.869752,1.555143
46,1,imbalanced_ap_load,1,1,0.952156,1.482107
47,1,imbalanced_ap_load,1,1,0.873263,1.70364
48,1,startup_surge,1,1,0.936155,1.485736
49,2,imbalanced_ap_load,2,3,0.685651,1.53755
50,2,startup_surge,2,2,0.984522,1.467293
51,1,startup_surge,1,1,0.85835,1.516569
52,1,imbalanced_ap_load,1,2,0.885959,1.470533
53,0,lunch_restart,0,2,0.994808,1.447774
54,1,imbalanced_ap_load,1,1,0.936344,1.490126
55,1,imbalanced_ap_load,1,1,0.89832,1.450737
56,0,lunch_restart,0,1,0.989608,1.491588
57,1,lunch_restart,1,1,0.929317,1.456089
58,2,startup_surge,2,1,0.861234,1.52407
59,1,lunch_restart,1,1,0.912852,1.455829
60,2,lunch_restart,2,2,0.926701,1.534014
61,1,emergency_ramp,1,1,0.950077,1.479811
62,1,emergency_ramp,1,1,0.918453,1.491533
63,2,imbalanced_ap_load,2,2,0.948275,1.499718
64,0,emergency_ramp,0,1,0.935839,1.54155
65,2,startup_surge,2,3,0.880954,1.497606
66,2,emergency_ramp,2,2,0.935855,1.554235
67,2,imbalanced_ap_load,2,1,0.866949,1.484588
68,0,imbalanced_ap_load,0,2,0.994441,1.464867
69,0,lunch_restart,0,1,0.998086,1.511606
70,1,startup_surge,1,2,0.972474,1.459829
71,2,emergency_ramp,2,2,0.994838,1.505792
72,2,lunch_restart,2,3,0.759441,1.466644
73,3,startup_surge,3,2,0.905747,1.519162
74,1,imbalanced_ap_load,1,3,0.899017,1.48157
75,2,emergency_ramp,2,1,0.857554,1.548235
76,1,emergency_ramp,1,2,0.923774,1.457144
77,1,emergency_ramp,1,1,0.93236,1.532754
78,2,emergency_ramp,1,3,0.511416,1.488515
79,1,imbalanced_ap_load,1,1,0.946723,1.57492
80,2,imbalanced_ap_load,2,2,0.975465,1.45694
81,0,lunch_restart,0,1,0.993567,1.525532
82,1,lunch_restart,1,1,0.887527,1.486551
83,0,imbalanced_ap_load,1,3,0.583865,1.544569
84,3,emergency_ramp,3,2,0.986603,1.481848
85,1,imbalanced_ap_load,1,1,0.948027,1.497163
86,1,imbalanced_ap_load,2,3,0.750447,1.483884
87,1,emergency_ramp,1,2,0.996621,1.463867
88,2,imbalanced_ap_load,2,3,0.792418,1.476533
89,2,imbalanced_ap_load,2,1,0.873555,1.463736
90,1,lunch_restart,1,2,0.977343,1.517014
91,1,imbalanced_ap_load,1,1,0.883565,1.451478
92,2,emergency_ramp,2,2,0.989478,1.521847
93,2,lunch_restart,2,2,0.996267,1.450108
94,2,imbalanced_ap_load,2,2,0.873955,1.549198
95,1,lunch_restart,1,2,0.942486,1.467829
96,2,startup_surge,2,2,0.966305,1.514792
97,1,lunch_restart,1,1,0.947744,1.422423
98,2,startup_surge,2,3,0.938609,1.523254
99,2,startup_surge,2,1,0.85442,1.494626
100,1,imbalanced_ap_load,1,1,0.939111,1.52631
101,1,lunch_restart,1,1,0.860351,1.479403
102,2,imbalanced_ap_load,2,1,0.868052,1.461199
103,2,lunch_restart,2,2,0.987308,1.49307
104,1,startup_surge,1,1,0.952491,1.475959
105,0,emergency_ramp,0,2,0.97814,1.556291
106,1,lunch_restart,1,2,0.990594,1.459199
107,0,startup_surge,0,2,0.993713,1.536995
108,1,emergency_ramp,1,2,0.97464,1.473366
109,3,startup_surge,3,2,0.973696,1.533087
110,1,lunch_restart,1,2,0.992431,1.459255
111,1,startup_surge,1,1,0.909445,1.55142
112,2,imbalanced_ap_load,2,2,0.926143,1.452237
113,1,startup_surge,1,1,0.957727,1.51881
114,2,lunch_restart,2,2,0.991519,1.48307
115,1,emergency_ramp,1,1,0.916326,1.491921
116,2,imbalanced_ap_load,2,1,0.865813,1.465941
117,1,startup_surge,1,1,0.885087,1.453385
118,2,imbalanced_ap_load,2,2,0.994724,1.485514
119,2,startup_surge,2,1,0.862074,1.460737
120,1,imbalanced_ap_load,1,2,0.955774,1.522569
121,1,imbalanced_ap_load,1,1,0.908471,1.449274
122,1,imbalanced_ap_load,1,1,0.865558,1.526032
123,2,startup_surge,2,2,0.885819,1.463422
124,1,startup_surge,1,1,0.910357,1.491662
125,2,lunch_restart,2,2,0.996953,1.471884
126,1,lunch_restart,1,2,0.889961,1.515588
127,1,emergency_ramp,1,1,0.897291,1.477199
128,0,imbalanced_ap_load,0,2,0.983232,1.532235
129,2,startup_surge,2,3,0.677995,1.518569
130,2,imbalanced_ap_load,2,2,0.93495,1.541365
131,2,startup_surge,2,2,0.978831,1.512643
132,1,imbalanced_ap_load,1,2,0.990308,1.56818
133,2,emergency_ramp,1,3,0.978342,1.454478
134,2,emergency_ramp,2,3,0.799992,1.456348
135,2,emergency_ramp,2,2,0.994577,1.498996
136,2,emergency_ramp,2,2,0.988018,1.474014
137,1,lunch_restart,1,1,0.857864,1.504829
138,1,imbalanced_ap_load,1,2,0.988032,1.470681
139,0,lunch_restart,0,2,0.883125,1.525402
140,1,lunch_restart,1,3,0.774273,1.464959
141,2,imbalanced_ap_load,2,2,0.997426,1.514551
142,0,emergency_ramp,0,1,0.96122,1.42533
143,1,startup_surge,1,1,0.945806,1.521699
144,1,emergency_ramp,1,2,0.992654,1.46307
145,1,emergency_ramp,1,1,0.909629,1.514273
146,1,imbalanced_ap_load,1,3,0.598846,1.447181
147,2,lunch_restart,2,2,0.986419,1.502717
148,2,emergency_ramp,2,2,0.986333,1.469366
149,2,startup_surge,2,3,0.891754,1.497125
150,1,lunch_restart,1,1,0.887721,1.488718
151,1,startup_surge,1,1,0.886625,1.427237
152,1,lunch_restart,0,3,0.726001,1.502366
153,1,emergency_ramp,1,1,0.938573,1.465385
154,1,imbalanced_ap_load,1,1,0.942976,1.534124
155,2,startup_surge,2,1,0.862181,1.467496
156,0,lunch_restart,0,1,0.984245,1.550347
157,0,lunch_restart,0,2,0.995386,1.481107
