sample_id,true_label,scenario,predicted_label,exit_point,confidence,inference_ms
0,2,startup_surge,2,2,0.97098,1.45782
1,1,emergency_ramp,1,1,0.957274,1.509208
2,1,imbalanced_ap_load,1,2,0.946922,1.499449
3,2,emergency_ramp,2,1,0.881994,1.437412
4,1,imbalanced_ap_load,1,1,0.958831,1.504929
5,1,emergency_ramp,1,2,0.994411,1.408691
6,2,imbalanced_ap_load,2,2,0.993352,1.503874
7,1,emergency_ramp,1,1,0.946557,1.437486
8,1,emergency_ramp,1,1,0.950767,1.429041
9,1,emergency_ramp,1,1,0.944313,1.433116
10,3,emergency_ramp,3,2,0.993092,1.438079
11,1,lunch_restart,1,3,0.903649,1.497597
12,0,imbalanced_ap_load,0,2,0.951191,1.460911
13,2,emergency_ramp,1,3,0.885603,1.490633
14,2,imbalanced_ap_load,2,2,0.997374,1.441597
15,0,imbalanced_ap_load,0,3,0.545425,1.490578
16,0,startup_surge,0,2,0.85756,1.435857
17,2,emergency_ramp,2,2,0.898233,1.51906
18,2,startup_surge,2,3,0.935242,1.424283
19,1,lunch_restart,1,2,0.983249,1.504467
20,2,imbalanced_ap_load,2,3,0.876169,1.43356
21,3,emergency_ramp,3,3,0.955262,1.471375
22,2,lunch_restart,2,2,0.994372,1.480393
23,1,emergency_ramp,1,1,0.945305,1.477338
24,1,lunch_restart,1,2,0.990799,1.43932
25,2,lunch_restart,2,1,0.851189,1.424541
26,1,imbalanced_ap_load,1,1,0.887626,1.479208
27,0,emergency_ramp,0,2,0.878244,1.43419
28,0,emergency_ramp,0,1,0.990034,1.525911
29,1,startup_surge,1,1,0.953431,1.435227
30,1,emergency_ramp,1,1,0.944626,1.518189
31,1,startup_surge,1,2,0.992602,1.444338
32,2,lunch_restart,2,1,0.866959,1.472227
33,1,startup_surge,1,2,0.886709,1.46469
34,1,imbalanced_ap_load,1,2,0.877191,1.455412
35,1,imbalanced_ap_load,1,2,0.866924,1.460079
36,2,emergency_ramp,3,3,0.885386,1.43056
37,2,startup_surge,2,2,0.917079,1.444134
38,1,startup_surge,1,1,0.922361,1.416616
39,1,emergency_ramp,1,1,0.949464,1.501448
40,1,imbalanced_ap_load,1,1,0.89234,1.427412
41,0,lunch_restart,0,1,0.955138,1.491634
42,2,startup_surge,2,2,0.995826,1.461375
43,0,emergency_ramp,0,1,0.958616,1.472578
44,1,startup_surge,1,1,0.939912,1.433116
45,0,imbalanced_ap_load,0,1,0.869752,1.433245
46,1,imbalanced_ap_load,1,1,0.952156,1.443486
47,1,imbalanced_ap_load,1,1,0.873263,1.419338
48,1,startup_surge,1,1,0.936155,1.492004
49,2,imbalanced_ap_load,2,3,0.685651,1.44819
50,2,startup_surge,2,2,0.984522,1.50243
51,1,startup_surge,1,1,0.85835,1.41845
52,1,imbalanced_ap_load,1,2,0.885959,1.476671
53,0,lunch_restart,0,2,0.994808,1.416153
54,1,imbalanced_ap_load,1,1,0.936344,1.454412
55,1,imbalanced_ap_load,1,1,0.89832,1.418782
56,0,lunch_restart,0,1,0.989608,1.420467
57,1,lunch_restart,1,1,0.929317,1.473653
58,2,startup_surge,2,1,0.861234,1.430467
59,1,lunch_restart,1,1,0.912852,1.493968
60,2,lunch_restart,2,2,0.926701,1.411153
61,1,emergency_ramp,1,1,0.950077,1.465283
62,1,emergency_ramp,1,1,0.918453,1.451467
63,2,imbalanced_ap_load,2,2,0.948275,1.421209
64,0,emergency_ramp,0,1,0.935839,1.446153
65,2,startup_surge,2,3,0.880954,1.424746
66,2,emergency_ramp,2,2,0.935855,1.499134
67,2,imbalanced_ap_load,2,1,0.866949,1.429783
68,0,imbalanced_ap_load,0,2,0.994441,1.479745
69,0,lunch_restart,0,1,0.998086,1.433431
70,1,startup_surge,1,2,0.972474,1.486541
71,2,emergency_ramp,2,2,0.994838,1.412598
72,2,lunch_restart,2,3,0.759441,1.496653
73,3,startup_surge,3,2,0.905747,1.422986
74,1,imbalanced_ap_load,1,3,0.899017,1.400672
75,2,emergency_ramp,2,1,0.857554,1.441097
76,1,emergency_ramp,1,2,0.923774,1.413412
77,1,emergency_ramp,1,1,0.93236,1.438912
78,2,emergency_ramp,1,3,0.511416,1.420394
79,1,imbalanced_ap_load,1,1,0.946723,1.493652
80,2,imbalanced_ap_load,2,2,0.975465,1.419283
81,0,lunch_restart,0,1,0.993567,1.491707
82,1,lunch_restart,1,1,0.887527,1.406653
83,0,imbalanced_ap_load,1,3,0.583865,1.450968
84,3,emergency_ramp,3,2,0.986603,1.424264
85,1,imbalanced_ap_load,1,1,0.948027,1.425394
86,1,imbalanced_ap_load,2,3,0.750447,1.447005
87,1,emergency_ramp,1,2,0.996621,1.416023
88,2,imbalanced_ap_load,2,3,0.792418,1.43669
89,2,imbalanced_ap_load,2,1,0.873555,1.431968
90,1,lunch_restart,1,2,0.977343,1.477282
91,1,imbalanced_ap_load,1,1,0.883565,1.444894
92,2,emergency_ramp,2,2,0.989478,1.485485
93,2,lunch_restart,2,2,0.996267,1.429505
94,2,imbalanced_ap_load,2,2,0.873955,1.492411
95,1,lunch_restart,1,2,0.942486,1.436746
96,2,startup_surge,2,2,0.966305,1.479985
97,1,lunch_restart,1,1,0.947744,1.431652
98,2,startup_surge,2,3,0.938609,1.439856
99,2,startup_surge,2,1,0.85442,1.483856
