sample_id,true_label,scenario,predicted_label,exit_point,confidence,inference_ms
0,2,startup_surge,2,2,0.971659,0.910689
1,1,emergency_ramp,1,1,0.957961,0.953429
2,1,imbalanced_ap_load,1,2,0.953511,0.887412
3,2,emergency_ramp,2,1,0.878866,0.99491
4,1,imbalanced_ap_load,1,1,0.959372,0.930762
5,1,emergency_ramp,1,2,0.994423,0.881245
6,2,imbalanced_ap_load,2,2,0.992995,0.928726
7,1,emergency_ramp,1,1,0.947435,0.920578
8,1,emergency_ramp,1,1,0.951104,0.90193
9,1,emergency_ramp,1,1,0.946401,0.893245
10,3,emergency_ramp,3,2,0.99304,0.993225
11,1,lunch_restart,1,2,0.862077,0.893134
12,0,imbalanced_ap_load,0,2,0.949868,0.891838
13,2,emergency_ramp,1,3,0.867295,1.06789
14,2,imbalanced_ap_load,2,2,0.997239,0.964132
15,0,imbalanced_ap_load,0,3,0.574565,0.887671
16,0,startup_surge,0,2,0.862421,0.982169
17,2,emergency_ramp,2,2,0.900309,0.898912
18,2,startup_surge,2,3,0.944195,0.873338
19,1,lunch_restart,1,2,0.984199,0.939337
20,2,imbalanced_ap_load,2,3,0.878664,0.90943
21,3,emergency_ramp,3,3,0.95816,0.87819
22,2,lunch_restart,2,2,0.994702,0.929152
23,1,emergency_ramp,1,1,0.945702,0.887226
24,1,lunch_restart,1,2,0.990786,0.87082
25,2,lunch_restart,2,2,0.998062,0.898097
26,1,imbalanced_ap_load,1,1,0.891762,0.954503
27,0,emergency_ramp,0,2,0.869847,0.894227
28,0,emergency_ramp,0,1,0.989785,0.87982
29,1,startup_surge,1,1,0.954186,0.969559
30,1,emergency_ramp,1,1,0.946076,0.889689
31,1,startup_surge,1,2,0.993679,0.866541
32,2,lunch_restart,2,1,0.864029,0.939411
33,1,startup_surge,1,2,0.891084,0.936485
34,1,imbalanced_ap_load,1,2,0.875397,0.88793
35,1,imbalanced_ap_load,1,2,0.883778,1.484624
36,2,emergency_ramp,3,3,0.873153,0.976262
37,2,startup_surge,2,2,0.913285,0.879078
38,1,startup_surge,1,1,0.924929,0.948688
39,1,emergency_ramp,1,1,0.950887,0.914263
40,1,imbalanced_ap_load,1,1,0.896605,0.883171
41,0,lunch_restart,0,1,0.954034,0.874208
42,2,startup_surge,2,2,0.996079,0.954596
43,0,emergency_ramp,0,1,0.95746,0.89643
44,1,startup_surge,1,1,0.940631,0.87669
45,0,imbalanced_ap_load,0,1,0.867367,0.917782
46,1,imbalanced_ap_load,1,1,0.952479,0.889023
47,1,imbalanced_ap_load,1,1,0.878885,0.877357
48,1,startup_surge,1,1,0.936672,0.866431
49,2,imbalanced_ap_load,2,3,0.668442,0.952596
50,2,startup_surge,2,2,0.981992,0.908541
51,1,startup_surge,1,1,0.864274,0.860709
52,1,imbalanced_ap_load,1,2,0.896215,0.935226
53,0,lunch_restart,0,2,0.994289,0.894449
54,1,imbalanced_ap_load,1,1,0.937542,0.87406
55,1,imbalanced_ap_load,1,1,0.901993,0.925633
56,0,lunch_restart,0,1,0.989703,0.916115
57,1,lunch_restart,1,1,0.930829,0.882264
58,2,startup_surge,2,1,0.859267,0.86856
59,1,lunch_restart,1,1,0.917517,0.925466
60,2,lunch_restart,2,2,0.925463,0.883912
61,1,emergency_ramp,1,1,0.950995,1.036483
62,1,emergency_ramp,1,1,0.915729,0.977984
63,2,imbalanced_ap_load,2,2,0.946558,0.905875
64,0,emergency_ramp,0,1,0.935351,0.888319
65,2,startup_surge,2,3,0.852765,0.867838
66,2,emergency_ramp,2,2,0.927737,0.928874
67,2,imbalanced_ap_load,2,1,0.86474,0.889134
68,0,imbalanced_ap_load,0,2,0.994346,0.869671
69,0,lunch_restart,0,1,0.998123,0.933559
70,1,startup_surge,1,2,0.975417,0.888393
71,2,emergency_ramp,2,2,0.994928,0.875948
72,2,lunch_restart,2,3,0.779494,0.941226
73,3,startup_surge,3,2,0.907394,0.911708
74,1,imbalanced_ap_load,1,3,0.90763,0.878727
75,2,emergency_ramp,2,1,0.854092,0.930818
76,1,emergency_ramp,1,2,0.936153,0.916856
77,1,emergency_ramp,1,1,0.933219,0.895448
78,2,emergency_ramp,2,3,0.522468,0.865708
79,1,imbalanced_ap_load,1,1,0.947174,0.936208
80,2,imbalanced_ap_load,2,2,0.97369,0.879986
81,0,lunch_restart,0,1,0.993745,0.866171
82,1,lunch_restart,1,1,0.887415,0.932818
83,0,imbalanced_ap_load,1,3,0.652067,0.895226
84,3,emergency_ramp,3,2,0.986804,0.874264
85,1,imbalanced_ap_load,1,1,0.949529,0.873172
86,1,imbalanced_ap_load,2,3,0.762653,0.953929
87,1,emergency_ramp,1,2,0.997082,0.892189
88,2,imbalanced_ap_load,2,3,0.803616,0.87806
89,2,imbalanced_ap_load,2,1,0.870217,0.922429
90,1,lunch_restart,1,2,0.977805,0.888504
91,1,imbalanced_ap_load,1,1,0.884732,0.873894
92,2,emergency_ramp,2,2,0.988999,0.928782
93,2,lunch_restart,2,2,0.995707,0.872949
94,2,imbalanced_ap_load,2,2,0.872753,0.875004
95,1,lunch_restart,1,2,0.945902,0.906281
96,2,startup_surge,2,2,0.965391,0.965947
97,1,lunch_restart,1,1,0.949185,0.898244
98,2,startup_surge,2,3,0.930313,0.885764
99,2,startup_surge,2,1,0.850634,1.028539
