True_Label,Predicted_Label,Inference_Time_ms
2,2,1.4922200003638864
1,1,1.405739999609068
1,1,1.4136400073766708
2,2,1.4109000097960234
1,1,1.4696399914100766
1,1,1.5641400124877691
2,2,1.4574999979231507
1,1,1.4110000047367066
1,1,1.3802000030409545
1,1,1.463100011460483
3,3,1.4201799989677966
1,1,1.3655200018547475
0,0,1.3490399986039847
2,1,1.3278800004627556
2,2,1.366619992768392
0,0,1.3698000053409487
0,0,1.4077600033488125
2,2,1.388839998980984
2,2,1.492280000820756
1,1,1.4357200067024678
2,2,1.3224399997852743
3,3,1.3729400059673935
2,2,1.3187200005631894
1,1,1.29255999927409
1,1,1.2956999940797687
2,2,1.2795199931133538
1,1,1.342319994000718
0,0,1.3624000072013587
0,0,1.3081799959763885
1,1,1.388420001603663
1,1,1.3942999998107553
1,1,1.2935200007632375
2,2,1.387659995816648
1,1,1.3638000003993511
1,1,1.3448400131892413
1,1,1.504560001194477
2,2,1.5818400017451495
2,2,1.6057199914939702
1,1,1.5453000029083341
1,1,1.5452400024514645
1,1,1.4725999964866787
0,0,1.4470599999185652
2,2,1.4877599955070764
0,0,1.4750199974514544
1,1,1.5077200019732118
0,0,1.6015400062315166
1,1,1.5613199910148978
1,1,1.4611400023568422
1,1,1.560259994585067
2,2,1.4818000025115907
2,2,1.5357600001152605
1,1,1.4562600059434772
1,1,1.426619989797473
0,0,1.4621000096667558
1,1,1.4008199970703572
1,1,1.5345399966463447
0,0,1.422339997952804
1,1,1.4153400028590113
2,2,1.39415999292396
1,1,1.4727399917319417
2,2,1.4681000029668212
1,1,1.3746400072705
1,1,1.318480004556477
2,2,1.2797800009138882
0,0,1.3241799955721945
2,2,1.3621199876070023
2,2,1.3811400043778121
2,2,1.5108599967788905
0,0,1.3155600056052208
0,0,1.398660003906116
1,1,1.2519999989308417
2,2,1.2622000009287149
2,2,1.2638999905902892
3,3,1.2782799953129143
1,1,1.2442200037185103
2,2,1.3015200034715235
1,1,1.2827200000174344
1,1,1.3780800043605268
2,2,1.376419997541234
1,1,1.2483000056818128
2,2,1.297900005010888
0,0,1.256559998728335
1,1,1.273600006243214
0,0,1.3731200015172362
3,3,1.3649399974383414
1,1,1.2445800006389618
1,1,1.3986999925691634
1,1,1.2830199906602502
2,2,1.2386800081003457
2,2,1.2297999986913055
1,1,1.1535600002389401
1,1,1.1759200016967952
2,2,1.179380004759878
2,2,1.2060000037308782
2,2,1.2674599944148213
1,1,1.1518600047565997
2,2,1.1233200144488364
1,1,1.089099992532283
2,2,1.1509600037243217
2,2,1.1334000038914382
1,1,1.2422399944625795
1,1,1.222159992903471
2,2,1.0841999959666282
2,2,1.301780011272058
1,1,1.2995199940633029
0,0,1.280679990304634
1,1,1.2806000071577728
0,0,1.1724800046067685
1,1,1.157419994706288
3,3,1.1721400020178407
1,1,1.1647200037259609
1,1,1.2041399953886867
2,2,1.169280003523454
1,1,1.20280000846833
2,2,1.1743000010028481
1,1,1.1719400063157082
2,2,1.2971799995284528
1,1,1.2842799944337457
2,2,1.2265800032764673
2,2,1.3549799972679466
1,1,1.3190400029998273
1,1,1.3395000016316772
1,1,1.3803200039546937
2,2,1.3033200055360794
1,1,1.4770799956750125
2,2,1.460120000410825
1,1,1.3195799896493554
1,1,1.412740006344393
0,0,1.2978599988855422
2,1,1.242039998760447
2,2,1.214920007623732
2,2,1.250319997780025
1,1,1.299680001102388
2,1,1.2655600032303482
2,2,1.2652600067667663
2,2,1.1826000001747161
2,2,1.2697600002866238
1,1,1.217300008283928
1,1,1.210040005389601
0,0,1.2840399984270334
1,1,1.369299995712936
2,2,1.346039999043569
0,0,1.3376199931371957
1,1,1.452119997702539
1,1,1.5194999985396862
1,1,1.4295600005425513
1,1,1.4066800009459257
2,2,1.3897000055294484
2,2,1.434339996194467
2,2,1.494220003951341
1,1,1.5394799876958132
1,1,1.4795400085859
1,1,1.4227199950255454
1,1,1.4405799971427768
1,1,1.4704399975016713
2,2,1.5968200052157044
0,0,1.49107999750413
0,0,1.4562600059434772
1,1,1.4979800034780055
0,0,1.4992600015830249
0,0,1.4296599954832345
1,1,1.4378399995621294
1,1,1.3789799995720387
1,1,1.4308599929790944
2,2,1.4612599974498153
2,2,1.4803200028836727
0,0,1.362500002142042
1,1,1.4022199960891157
1,1,1.359819999197498
