sample_id,scenario,scenario_id,true_label,channel_occupancy_variance,fixed_pred,fixed_exit_point,fixed_theta_1,dynamic_pred,dynamic_exit_point,dynamic_theta_1
1,emergency_ramp,1,1,0.368033,1,1,0.3,1,1,0.3
3,emergency_ramp,1,2,0.153335,2,2,0.3,2,2,0.3
5,emergency_ramp,1,1,0.276821,1,2,0.3,1,2,0.375
7,emergency_ramp,1,1,0.288467,1,1,0.3,1,1,0.3
8,emergency_ramp,1,1,0.276901,1,1,0.3,1,1,0.3
9,emergency_ramp,1,1,0.304389,1,1,0.3,1,1,0.3
10,emergency_ramp,1,3,0.283516,3,2,0.3,3,2,0.375
13,emergency_ramp,1,2,0.308047,1,3,0.3,1,3,0.3
17,emergency_ramp,1,2,0.316731,2,2,0.3,2,2,0.375
21,emergency_ramp,1,3,0.319437,3,2,0.3,3,2,0.3
23,emergency_ramp,1,1,0.306781,1,1,0.3,1,1,0.375
27,emergency_ramp,1,0,0.335122,0,2,0.3,0,2,0.3
28,emergency_ramp,1,0,0.176054,0,1,0.3,0,1,0.3
30,emergency_ramp,1,1,0.217519,1,1,0.3,1,1,0.375
36,emergency_ramp,1,2,0.252702,3,3,0.3,2,2,0.375
39,emergency_ramp,1,1,0.285022,1,1,0.3,1,1,0.3
43,emergency_ramp,1,0,0.25986,0,1,0.3,0,1,0.375
61,emergency_ramp,1,1,0.272345,1,1,0.3,1,1,0.375
62,emergency_ramp,1,1,0.273614,1,2,0.3,1,2,0.3
64,emergency_ramp,1,0,0.370636,0,1,0.3,0,1,0.3
66,emergency_ramp,1,2,0.301642,2,2,0.3,2,2,0.3
71,emergency_ramp,1,2,0.324853,2,2,0.3,2,2,0.3
75,emergency_ramp,1,2,0.270643,2,2,0.3,2,2,0.375
76,emergency_ramp,1,1,0.260173,1,2,0.3,1,2,0.375
77,emergency_ramp,1,1,0.142434,1,1,0.3,1,1,0.375
78,emergency_ramp,1,2,0.176222,1,3,0.3,1,3,0.3
84,emergency_ramp,1,3,0.316198,3,2,0.3,3,2,0.3
87,emergency_ramp,1,1,0.214544,1,2,0.3,1,2,0.3
92,emergency_ramp,1,2,0.387806,2,2,0.3,2,2,0.3
105,emergency_ramp,1,0,0.340252,0,2,0.3,0,2,0.3
108,emergency_ramp,1,1,0.280174,1,2,0.3,1,2,0.3
115,emergency_ramp,1,1,0.254555,1,2,0.3,1,1,0.375
127,emergency_ramp,1,1,0.274088,1,2,0.3,1,1,0.375
