sample_id,true_label,scenario,predicted_label,exit_point,confidence,entropy,inference_ms,inference_std_ms,inference_min_ms,inference_max_ms,inference_p50_ms,inference_p95_ms,measurement_repeats,inference_mode,dynamic_theta
0,0,normal_idle,0,3,0.970267,0.144743,1.82391,0.024641,1.791118,1.85582,1.834876,1.852357,5,baseline,0
1,0,normal_idle,0,3,0.969998,0.14606,1.840846,0.037281,1.793617,1.884801,1.851931,1.882486,5,baseline,0
2,0,normal_idle,0,3,0.969933,0.146357,1.835236,0.05347,1.754415,1.901116,1.83984,1.897157,5,baseline,0
3,0,normal_idle,0,3,0.969911,0.146506,1.838691,0.042933,1.783489,1.880579,1.869654,1.878561,5,baseline,0
4,0,normal_idle,0,3,0.969413,0.148705,1.844317,0.052195,1.783099,1.918949,1.858727,1.909853,5,baseline,0
5,0,normal_idle,0,3,0.968879,0.150818,1.822406,0.02784,1.787784,1.860098,1.821118,1.857387,5,baseline,0
6,0,normal_idle,0,3,0.969316,0.149012,1.836206,0.04472,1.783896,1.90106,1.840172,1.89406,5,baseline,0
7,0,normal_idle,0,3,0.969386,0.148673,1.830328,0.025685,1.799488,1.856135,1.840377,1.856072,5,baseline,0
8,0,normal_idle,0,3,0.969903,0.146268,1.834309,0.051125,1.778284,1.918097,1.835339,1.905523,5,baseline,0
9,0,normal_idle,0,3,0.969938,0.146266,1.833743,0.029207,1.790322,1.863098,1.851431,1.861761,5,baseline,0
10,0,normal_idle,0,3,0.970104,0.14557,1.836543,0.050889,1.770507,1.920671,1.840876,1.906582,5,baseline,0
11,0,normal_idle,0,3,0.970485,0.143792,1.823554,0.018962,1.793488,1.842191,1.83071,1.842009,5,baseline,0
12,0,normal_idle,0,3,0.970431,0.143961,1.838506,0.055204,1.764563,1.930708,1.842024,1.914605,5,baseline,0
13,0,normal_idle,0,3,0.970287,0.144641,1.835528,0.026092,1.804913,1.875357,1.827525,1.871309,5,baseline,0
14,0,normal_idle,0,3,0.969708,0.147321,1.844183,0.047742,1.790988,1.920023,1.857042,1.90766,5,baseline,0
15,1,low_load,1,3,0.994223,0.039558,1.832395,0.029603,1.802858,1.875654,1.815543,1.872509,5,baseline,0
16,1,low_load,1,3,0.994293,0.039327,1.84068,0.042879,1.785155,1.914727,1.840024,1.901186,5,baseline,0
17,1,low_load,1,3,0.993729,0.042808,1.828125,0.01831,1.801506,1.84821,1.836172,1.847199,5,baseline,0
18,1,low_load,1,3,0.993945,0.041508,1.838324,0.040724,1.796766,1.911727,1.83282,1.898412,5,baseline,0
19,1,low_load,1,3,0.994348,0.03897,1.834913,0.026659,1.801081,1.869135,1.847783,1.865402,5,baseline,0
20,1,low_load,1,3,0.994406,0.0386,1.822265,0.044894,1.776007,1.902412,1.810413,1.888935,5,baseline,0
21,1,low_load,1,3,0.994138,0.040315,1.82755,0.016281,1.80471,1.846839,1.833839,1.845495,5,baseline,0
22,1,low_load,1,3,0.994309,0.03916,1.825558,0.051652,1.77184,1.917486,1.823599,1.900657,5,baseline,0
23,1,low_load,1,3,0.993802,0.042351,1.831721,0.034553,1.781359,1.872098,1.820357,1.871535,5,baseline,0
24,1,low_load,1,3,0.993511,0.044092,1.839276,0.050589,1.78771,1.934837,1.826117,1.915312,5,baseline,0
25,1,low_load,1,3,0.994197,0.039902,1.827847,0.03839,1.7571,1.867098,1.844599,1.863668,5,baseline,0
26,1,low_load,1,3,0.994323,0.03914,1.822921,0.038989,1.780618,1.89619,1.811358,1.88115,5,baseline,0
27,1,low_load,1,3,0.994291,0.039346,1.856024,0.080714,1.779285,2.006688,1.831098,1.978233,5,baseline,0
28,1,low_load,1,3,0.994247,0.039645,1.827388,0.033865,1.781526,1.885246,1.817803,1.875376,5,baseline,0
29,1,low_load,1,3,0.994165,0.040131,1.822421,0.029305,1.774247,1.863135,1.818914,1.858294,5,baseline,0
30,1,low_load,1,3,0.993808,0.042315,1.827584,0.04698,1.774581,1.909394,1.824803,1.895302,5,baseline,0
31,1,low_load,1,3,0.993032,0.04695,1.841017,0.034647,1.781803,1.878802,1.851988,1.876517,5,baseline,0
32,1,low_load,1,3,0.993304,0.045355,1.820066,0.037602,1.788266,1.890579,1.803766,1.877609,5,baseline,0
33,1,medium_load,1,3,0.725137,0.614668,1.834658,0.031929,1.787025,1.873949,1.836228,1.871786,5,baseline,0
34,2,medium_load,1,3,0.705031,0.63495,1.822265,0.03753,1.772396,1.865987,1.831709,1.864054,5,baseline,0
35,1,medium_load,1,3,0.694558,0.644633,1.835039,0.04824,1.75197,1.885079,1.845617,1.883427,5,baseline,0
36,1,medium_load,1,3,0.742655,0.595348,1.835262,0.053454,1.780192,1.905709,1.811876,1.903109,5,baseline,0
37,1,medium_load,1,3,0.740722,0.597503,1.842676,0.035502,1.795821,1.884302,1.83471,1.883965,5,baseline,0
38,1,medium_load,1,3,0.721171,0.618746,1.834591,0.042662,1.787748,1.893154,1.831673,1.888843,5,baseline,0
39,1,medium_load,1,3,0.722185,0.617714,1.912542,0.10272,1.792803,2.045132,1.859783,2.041184,5,baseline,0
40,1,medium_load,1,3,0.765682,0.567687,2.180956,0.54493,1.811377,3.257611,1.886876,3.01953,5,baseline,0
41,1,medium_load,1,3,0.765231,0.5683,1.832006,0.047584,1.774211,1.892282,1.815321,1.890556,5,baseline,0
42,1,medium_load,1,3,0.758631,0.576441,1.841517,0.033795,1.78947,1.884727,1.835672,1.882009,5,baseline,0
43,2,medium_load,1,3,0.754816,0.581034,1.826262,0.040385,1.779026,1.885728,1.819413,1.880117,5,baseline,0
44,1,medium_load,1,3,0.713177,0.626721,1.816688,0.037062,1.773785,1.86569,1.802784,1.863601,5,baseline,0
45,1,medium_load,1,3,0.712924,0.626956,1.82841,0.052921,1.764174,1.89569,1.82658,1.892453,5,baseline,0
46,2,high_load,2,3,0.902323,0.362533,1.833861,0.040032,1.777155,1.874709,1.856079,1.873135,5,baseline,0
47,2,high_load,2,3,0.792509,0.555014,1.829373,0.042176,1.789562,1.891005,1.804729,1.886575,5,baseline,0
48,2,high_load,2,3,0.860468,0.447905,1.821624,0.035285,1.779321,1.864023,1.807228,1.863797,5,baseline,0
49,2,high_load,2,3,0.877412,0.415479,1.828839,0.037418,1.7781,1.873783,1.829395,1.872235,5,baseline,0
50,2,high_load,2,3,0.806925,0.534358,1.84005,0.044243,1.781822,1.901097,1.854172,1.894016,5,baseline,0
51,2,high_load,2,3,0.855385,0.456813,1.834072,0.034213,1.788358,1.876968,1.833376,1.874931,5,baseline,0
52,2,high_load,2,3,0.880093,0.410176,1.829136,0.0477,1.766193,1.887931,1.852691,1.88225,5,baseline,0
53,2,high_load,2,3,0.782058,0.56808,1.828702,0.047279,1.748118,1.87369,1.852228,1.872275,5,baseline,0
54,2,high_load,2,3,0.899008,0.36988,1.848702,0.047356,1.785655,1.91643,1.867265,1.906941,5,baseline,0
55,2,high_load,2,3,0.914629,0.333374,1.816417,0.037868,1.762378,1.871357,1.826728,1.863857,5,baseline,0
56,2,high_load,2,3,0.891782,0.386136,1.836232,0.045224,1.786025,1.907283,1.848709,1.895979,5,baseline,0
57,2,high_load,2,3,0.933725,0.282808,1.822387,0.028912,1.782932,1.854116,1.837339,1.852275,5,baseline,0
58,2,high_load,2,3,0.922289,0.313895,1.839628,0.051654,1.784044,1.923097,1.838505,1.911375,5,baseline,0
59,2,high_load,2,3,0.855199,0.458222,1.841813,0.041783,1.794377,1.898282,1.843913,1.893904,5,baseline,0
60,2,high_load,2,3,0.759416,0.596444,1.827458,0.05503,1.761433,1.910504,1.826524,1.900952,5,baseline,0
61,2,high_load,2,3,0.748063,0.608243,1.823113,0.036233,1.778803,1.878875,1.833192,1.870383,5,baseline,0
62,2,high_load,2,3,0.712368,0.643173,1.831995,0.048764,1.773952,1.907893,1.82058,1.899293,5,baseline,0
63,3,stress_load,3,3,0.939371,0.243723,1.82581,0.037488,1.776859,1.872987,1.843913,1.868154,5,baseline,0
64,2,stress_load,3,3,0.943647,0.232002,1.830761,0.040556,1.772821,1.871727,1.856172,1.869772,5,baseline,0
65,2,stress_load,3,3,0.943476,0.232444,1.827617,0.038106,1.768767,1.872246,1.82921,1.870453,5,baseline,0
66,2,stress_load,3,3,0.941777,0.236916,1.83005,0.049698,1.781544,1.918264,1.830876,1.901846,5,baseline,0
67,3,stress_load,3,3,0.940602,0.240049,1.829154,0.034938,1.783711,1.874246,1.835524,1.870865,5,baseline,0
68,3,stress_load,3,3,0.932102,0.263028,1.84318,0.043767,1.793044,1.917319,1.842154,1.905297,5,baseline,0
