sample_id,true_label,scenario,predicted_label,exit_point,confidence,entropy,inference_ms,inference_std_ms,inference_min_ms,inference_max_ms,inference_p50_ms,inference_p95_ms,measurement_repeats,inference_mode,dynamic_theta
0,0,normal_idle,0,3,0.970357,0.144413,1.101822,0.035382,1.05963,1.154406,1.085444,1.149832,5,baseline,0
1,0,normal_idle,0,3,0.970033,0.145918,1.153584,0.111697,1.04839,1.366292,1.135129,1.320785,5,baseline,0
2,0,normal_idle,0,3,0.969982,0.146171,1.128648,0.068344,1.053334,1.250497,1.130277,1.227094,5,baseline,0
3,0,normal_idle,0,3,0.969842,0.146789,1.133288,0.072448,1.061445,1.262923,1.094982,1.242286,5,baseline,0
4,0,normal_idle,0,3,0.969541,0.148242,1.130358,0.059398,1.063204,1.221757,1.102537,1.212776,5,baseline,0
5,0,normal_idle,0,3,0.968833,0.150987,1.176869,0.112377,1.058834,1.355607,1.120647,1.3362,5,baseline,0
6,0,normal_idle,0,3,0.969412,0.148656,1.143244,0.095911,1.060371,1.331107,1.10487,1.288563,5,baseline,0
7,0,normal_idle,0,3,0.969528,0.14812,1.127933,0.064313,1.055371,1.229757,1.109166,1.217976,5,baseline,0
8,0,normal_idle,0,3,0.970074,0.145641,1.123992,0.076669,1.054834,1.267405,1.091907,1.24102,5,baseline,0
9,0,normal_idle,0,3,0.970014,0.145971,1.137262,0.084668,1.049482,1.293108,1.132944,1.261564,5,baseline,0
10,0,normal_idle,0,3,0.97023,0.145064,1.125462,0.068504,1.051723,1.241183,1.091537,1.225542,5,baseline,0
11,0,normal_idle,0,3,0.970601,0.143351,1.140803,0.088539,1.062538,1.3117,1.098982,1.276501,5,baseline,0
12,0,normal_idle,0,3,0.970546,0.143495,1.116781,0.073864,1.047501,1.229794,1.081093,1.21935,5,baseline,0
13,0,normal_idle,0,3,0.970491,0.143873,1.131092,0.06894,1.066815,1.263831,1.110962,1.235413,5,baseline,0
14,0,normal_idle,0,3,0.969689,0.147396,1.140566,0.085086,1.05489,1.295348,1.131629,1.266134,5,baseline,0
15,1,low_load,1,3,0.99427,0.039279,1.118348,0.060218,1.054668,1.213109,1.083574,1.203335,5,baseline,0
16,1,low_load,1,3,0.994307,0.039251,1.14201,0.090828,1.065815,1.317497,1.09474,1.281801,5,baseline,0
17,1,low_load,1,3,0.993734,0.042785,1.119299,0.075366,1.035982,1.233665,1.092481,1.222739,5,baseline,0
18,1,low_load,1,3,0.993969,0.041375,1.12784,0.066179,1.073241,1.256516,1.105166,1.228879,5,baseline,0
19,1,low_load,1,3,0.994374,0.03882,1.138603,0.090713,1.053112,1.307441,1.129073,1.273382,5,baseline,0
20,1,low_load,1,3,0.994446,0.038368,1.120047,0.063672,1.057204,1.230368,1.084259,1.21462,5,baseline,0
21,1,low_load,1,3,0.994178,0.04008,1.136184,0.088847,1.05463,1.304515,1.094389,1.272223,5,baseline,0
22,1,low_load,1,3,0.994329,0.039051,1.132225,0.066671,1.056723,1.236849,1.094926,1.225857,5,baseline,0
23,1,low_load,1,3,0.993824,0.042224,1.134177,0.070083,1.060575,1.264535,1.109778,1.239765,5,baseline,0
24,1,low_load,1,3,0.993549,0.04387,1.134507,0.084647,1.054612,1.289367,1.115389,1.261219,5,baseline,0
25,1,low_load,1,3,0.994234,0.039686,1.117907,0.067826,1.05113,1.230109,1.081796,1.216335,5,baseline,0
26,1,low_load,1,3,0.994351,0.038975,1.146051,0.0869,1.063223,1.309922,1.109148,1.278578,5,baseline,0
27,1,low_load,1,3,0.994321,0.039173,1.137681,0.063817,1.062445,1.233738,1.11687,1.224568,5,baseline,0
28,1,low_load,1,3,0.994278,0.039463,1.135395,0.068208,1.063797,1.261997,1.108777,1.238301,5,baseline,0
29,1,low_load,1,3,0.99418,0.040042,1.133825,0.085177,1.051279,1.292774,1.116815,1.261593,5,baseline,0
30,1,low_load,1,3,0.993833,0.042166,1.125492,0.066248,1.050686,1.239627,1.133018,1.218698,5,baseline,0
31,1,low_load,1,3,0.993122,0.04643,1.130273,0.073358,1.060093,1.265053,1.095945,1.241672,5,baseline,0
32,1,low_load,1,3,0.993349,0.045089,1.131703,0.063931,1.059722,1.233257,1.104944,1.221853,5,baseline,0
33,1,medium_load,1,3,0.722918,0.616913,1.128329,0.070193,1.058982,1.25696,1.099167,1.234509,5,baseline,0
34,2,medium_load,1,3,0.704953,0.634939,1.138388,0.083458,1.060278,1.295701,1.119129,1.264261,5,baseline,0
35,1,medium_load,1,3,0.695063,0.644051,1.124125,0.068256,1.051741,1.234312,1.087,1.221731,5,baseline,0
36,1,medium_load,1,3,0.741979,0.596073,1.124347,0.068054,1.053259,1.249256,1.091667,1.227079,5,baseline,0
37,1,medium_load,1,3,0.742184,0.595807,1.138792,0.061965,1.058445,1.212238,1.109777,1.211968,5,baseline,0
38,1,medium_load,1,3,0.721983,0.617863,1.137577,0.073136,1.065519,1.277256,1.106093,1.248527,5,baseline,0
39,1,medium_load,1,3,0.723241,0.616523,1.138714,0.087771,1.054427,1.302255,1.121648,1.270319,5,baseline,0
40,1,medium_load,1,3,0.766268,0.566853,1.124621,0.062825,1.05113,1.231738,1.127796,1.213227,5,baseline,0
41,1,medium_load,1,3,0.766366,0.566765,1.123388,0.067277,1.065371,1.247867,1.090315,1.226142,5,baseline,0
42,1,medium_load,1,3,0.758426,0.576588,1.131981,0.062323,1.058686,1.229368,1.109907,1.218716,5,baseline,0
43,2,medium_load,1,3,0.754776,0.580998,1.134792,0.073326,1.054094,1.26896,1.110574,1.244408,5,baseline,0
44,1,medium_load,1,3,0.71272,0.627127,1.138051,0.087288,1.056631,1.302089,1.119278,1.269482,5,baseline,0
45,1,medium_load,1,3,0.711166,0.62863,1.124325,0.067458,1.048242,1.240164,1.126536,1.220094,5,baseline,0
46,2,high_load,2,3,0.903681,0.359568,1.127936,0.075716,1.04939,1.26422,1.089222,1.241757,5,baseline,0
47,2,high_load,2,3,0.794018,0.553061,1.141321,0.059083,1.06563,1.22209,1.114369,1.217327,5,baseline,0
48,2,high_load,2,3,0.862709,0.443799,1.134662,0.070724,1.065259,1.264405,1.095778,1.241998,5,baseline,0
49,2,high_load,2,3,0.881127,0.407936,1.143869,0.081062,1.072297,1.301422,1.123462,1.265975,5,baseline,0
50,2,high_load,2,3,0.808092,0.532835,1.121688,0.067045,1.044575,1.231942,1.11524,1.216139,5,baseline,0
51,2,high_load,2,3,0.85457,0.458331,1.128525,0.070286,1.05976,1.258645,1.095759,1.235346,5,baseline,0
52,2,high_load,2,3,0.879921,0.410325,1.134584,0.063955,1.056204,1.231831,1.116536,1.221813,5,baseline,0
53,2,high_load,2,3,0.778061,0.573213,1.134214,0.06929,1.062759,1.260238,1.103185,1.238642,5,baseline,0
54,2,high_load,2,3,0.901422,0.364413,1.138155,0.080729,1.061278,1.293904,1.114759,1.259782,5,baseline,0
55,2,high_load,2,3,0.915317,0.331749,1.120388,0.060129,1.049167,1.220701,1.121499,1.204668,5,baseline,0
56,2,high_load,2,3,0.892259,0.385041,1.126844,0.074597,1.057705,1.260701,1.098092,1.238879,5,baseline,0
57,2,high_load,2,3,0.932675,0.285814,1.134403,0.060967,1.053223,1.219275,1.129573,1.212179,5,baseline,0
58,2,high_load,2,3,0.9213,0.316403,1.129433,0.067681,1.059019,1.250608,1.092833,1.230994,5,baseline,0
59,2,high_load,2,3,0.858858,0.451684,1.137329,0.087546,1.061741,1.309052,1.106962,1.26896,5,baseline,0
60,2,high_load,2,3,0.762457,0.592942,1.127718,0.064627,1.054075,1.226831,1.117425,1.215898,5,baseline,0
61,2,high_load,2,3,0.739271,0.617486,1.125548,0.073652,1.060445,1.260608,1.085519,1.237805,5,baseline,0
62,2,high_load,2,3,0.701535,0.652451,1.191076,0.13296,1.053463,1.429383,1.156425,1.388743,5,baseline,0
63,3,stress_load,3,3,0.939224,0.2442,1.122844,0.069313,1.050538,1.241867,1.086519,1.22509,5,baseline,0
64,2,stress_load,3,3,0.943623,0.232058,1.137362,0.092936,1.049574,1.316737,1.101962,1.278315,5,baseline,0
