sample_id,true_label,scenario,predicted_label,exit_point,confidence,entropy,inference_ms,inference_std_ms,inference_min_ms,inference_max_ms,inference_p50_ms,inference_p95_ms,measurement_repeats,inference_mode,dynamic_theta
0,0,normal_idle,0,1,0.912504,0.324223,0.644473,0.027885,0.613884,0.696643,0.639662,0.685688,5,staged,1
1,0,normal_idle,0,1,0.918487,0.31003,0.715176,0.089896,0.621051,0.873179,0.665699,0.849116,5,staged,1
2,0,normal_idle,0,1,0.91982,0.30636,0.688929,0.075824,0.602589,0.818161,0.676828,0.798146,5,staged,1
3,0,normal_idle,0,1,0.92145,0.302084,0.685328,0.06323,0.615755,0.785179,0.66831,0.773683,5,staged,1
4,0,normal_idle,0,1,0.923028,0.299579,0.681577,0.065408,0.617848,0.786494,0.657384,0.774387,5,staged,1
5,0,normal_idle,0,1,0.92208,0.302165,0.678076,0.07053,0.611032,0.792809,0.636588,0.779705,5,staged,1
6,0,normal_idle,0,1,0.92132,0.30385,0.680739,0.094004,0.60618,0.860216,0.634811,0.825583,5,staged,1
7,0,normal_idle,0,1,0.920344,0.306114,0.677658,0.086048,0.612829,0.841327,0.626421,0.810575,5,staged,1
8,0,normal_idle,0,1,0.915207,0.317616,0.674228,0.088011,0.610755,0.84279,0.622977,0.810346,5,staged,1
9,0,normal_idle,0,1,0.918593,0.309347,0.683917,0.104375,0.605625,0.885531,0.635069,0.844879,5,staged,1
10,0,normal_idle,0,1,0.91916,0.307415,0.671162,0.093372,0.599569,0.852661,0.628032,0.815039,5,staged,1
11,0,normal_idle,0,1,0.913062,0.321809,0.67354,0.091904,0.609329,0.853587,0.62268,0.815539,5,staged,1
12,0,normal_idle,0,1,0.912114,0.32432,0.668369,0.095905,0.604922,0.856957,0.620162,0.816268,5,staged,1
13,0,normal_idle,0,1,0.913282,0.322014,0.677095,0.098124,0.609885,0.870364,0.629255,0.828187,5,staged,1
14,0,normal_idle,0,1,0.919018,0.309191,0.661177,0.075594,0.611884,0.809772,0.621829,0.777843,5,staged,1
15,1,low_load,1,1,0.969308,0.163334,0.661843,0.068819,0.609218,0.794772,0.62857,0.768017,5,staged,1
16,1,low_load,1,1,0.957883,0.204721,0.902908,0.153061,0.690439,1.086252,0.83642,1.083389,5,staged,1
17,1,low_load,1,1,0.900309,0.367134,0.892071,0.299036,0.623829,1.406193,0.739902,1.334812,5,staged,1
18,1,low_load,1,1,0.907225,0.35042,0.722995,0.088926,0.629699,0.875698,0.695143,0.853176,5,staged,1
19,1,low_load,1,1,0.959705,0.199652,0.684532,0.105776,0.607662,0.89116,0.631051,0.847808,5,staged,1
20,1,low_load,1,1,0.963989,0.183467,0.684803,0.106463,0.608144,0.893142,0.630162,0.849131,5,staged,1
21,1,low_load,1,1,0.9299,0.290882,0.681458,0.097984,0.614829,0.872938,0.630773,0.832849,5,staged,1
22,1,low_load,1,1,0.962714,0.188337,0.678332,0.079433,0.618162,0.830623,0.637107,0.800975,5,staged,1
23,1,low_load,1,1,0.92303,0.311644,0.67001,0.08637,0.607366,0.838105,0.626866,0.803387,5,staged,1
24,1,low_load,1,1,0.903971,0.365246,0.665221,0.079155,0.612181,0.821068,0.626477,0.787161,5,staged,1
25,1,low_load,1,1,0.947007,0.246023,0.66781,0.073933,0.615107,0.81279,0.634088,0.781631,5,staged,1
26,1,low_load,1,1,0.961537,0.194044,0.681314,0.066235,0.620514,0.806235,0.664755,0.78145,5,staged,1
27,1,low_load,1,1,0.959552,0.200562,0.685277,0.070711,0.621866,0.815975,0.656218,0.792827,5,staged,1
28,1,low_load,1,1,0.951334,0.227424,0.688628,0.06728,0.620699,0.807235,0.665477,0.788554,5,staged,1
29,1,low_load,1,1,0.949797,0.233089,0.678973,0.067936,0.61381,0.800679,0.651939,0.780939,5,staged,1
30,1,low_load,1,1,0.9279,0.299432,0.692699,0.054858,0.628385,0.786827,0.684144,0.771794,5,staged,1
31,1,low_load,1,2,0.931966,0.298473,1.85755,0.202766,1.647655,2.22454,1.844172,2.15484,5,staged,1
32,1,low_load,1,2,0.926312,0.315109,1.669744,0.111885,1.569359,1.881135,1.632692,1.840087,5,staged,1
33,1,medium_load,1,2,0.730737,0.654296,1.730573,0.092726,1.611988,1.834228,1.73184,1.833884,5,staged,1
34,2,medium_load,1,2,0.708717,0.679239,1.716899,0.094154,1.608137,1.867339,1.673044,1.850069,5,staged,1
35,1,medium_load,1,2,0.694102,0.694894,2.450297,1.586701,1.591192,5.621145,1.634007,4.852428,5,staged,1
36,1,medium_load,1,2,0.733142,0.651336,1.745621,0.079224,1.652951,1.841006,1.726247,1.839832,5,staged,1
37,1,medium_load,1,2,0.736896,0.646837,1.736632,0.096719,1.620858,1.859801,1.69121,1.856527,5,staged,1
38,1,medium_load,1,2,0.696467,0.692227,1.744251,0.087374,1.626784,1.849024,1.711414,1.847643,5,staged,1
39,1,medium_load,1,2,0.73675,0.646888,1.726299,0.04753,1.653192,1.802932,1.728487,1.788102,5,staged,1
40,1,medium_load,1,2,0.752207,0.62885,2.508064,1.599379,1.653803,5.704867,1.719655,4.925258,5,staged,1
41,1,medium_load,1,2,0.74871,0.633296,1.727862,0.096891,1.624007,1.872061,1.666507,1.860405,5,staged,1
42,1,medium_load,1,2,0.72683,0.658756,1.732747,0.071906,1.625414,1.846431,1.719691,1.829294,5,staged,1
43,2,medium_load,1,2,0.725378,0.66037,2.497157,1.654068,1.595322,5.803626,1.674859,4.99468,5,staged,1
44,1,medium_load,1,2,0.71988,0.665919,1.718977,0.102176,1.614766,1.889968,1.678673,1.867353,5,staged,1
45,1,medium_load,1,2,0.724878,0.660124,1.73631,0.069979,1.64584,1.857135,1.722969,1.83652,5,staged,1
46,2,high_load,2,2,0.80456,0.597219,2.544015,1.617474,1.608767,5.76844,1.705728,5.011405,5,staged,1
47,2,high_load,2,2,0.679509,0.718492,1.785336,0.142761,1.610433,1.995134,1.746451,1.976279,5,staged,1
48,2,high_load,2,2,0.798075,0.604079,1.768728,0.149516,1.603803,1.998208,1.686728,1.976434,5,staged,1
49,2,high_load,2,2,0.703426,0.701003,1.677025,0.094742,1.592415,1.85982,1.652395,1.820368,5,staged,1
50,2,high_load,2,2,0.654959,0.733377,1.70584,0.078491,1.595711,1.803432,1.701229,1.799032,5,staged,1
51,2,high_load,2,2,0.723741,0.681976,1.735991,0.109976,1.606062,1.871449,1.679877,1.869819,5,staged,1
52,2,high_load,2,2,0.783024,0.620277,2.468208,1.670225,1.586451,5.808162,1.640674,4.981849,5,staged,1
53,2,high_load,2,2,0.733925,0.672181,1.724499,0.085618,1.605192,1.82832,1.754061,1.820753,5,staged,1
54,2,high_load,2,2,0.814099,0.582493,1.733654,0.107167,1.610044,1.878931,1.678044,1.871909,5,staged,1
55,2,high_load,2,2,0.83157,0.567473,2.491197,1.682158,1.636803,5.855384,1.647896,5.019838,5,staged,1
56,2,high_load,2,2,0.825489,0.570508,1.718628,0.091927,1.60397,1.832357,1.732117,1.826194,5,staged,1
57,2,high_load,2,2,0.829069,0.578789,1.731595,0.102233,1.607932,1.868913,1.688099,1.862194,5,staged,1
58,2,high_load,2,2,0.831407,0.571563,1.733306,0.090281,1.60123,1.841728,1.714136,1.838657,5,staged,1
59,2,high_load,2,2,0.801913,0.599022,1.719991,0.044337,1.64784,1.774709,1.715284,1.771198,5,staged,1
60,2,high_load,2,2,0.761925,0.644902,2.504871,1.607378,1.646396,5.718348,1.731395,4.928483,5,staged,1
61,2,high_load,2,2,0.686891,0.711763,2.462475,1.674768,1.56347,5.811236,1.650044,4.98299,5,staged,1
62,2,high_load,2,2,0.692499,0.707361,1.718173,0.09438,1.582136,1.826375,1.721118,1.82396,5,staged,1
63,3,stress_load,3,3,0.560328,0.768807,2.923642,0.224775,2.743406,3.35405,2.793165,3.270625,5,staged,1
64,2,stress_load,3,3,0.57544,0.765069,2.784665,0.090904,2.673666,2.902738,2.792554,2.894879,5,staged,1
65,2,stress_load,3,3,0.573704,0.765474,2.787165,0.090189,2.673277,2.948331,2.759295,2.918057,5,staged,1
66,2,stress_load,3,3,0.564735,0.767323,2.831639,0.098197,2.708591,2.969441,2.791702,2.96,5,staged,1
67,3,stress_load,3,3,0.557924,0.768681,2.789076,0.092067,2.663981,2.900868,2.783998,2.897105,5,staged,1
68,3,stress_load,3,3,0.511257,0.776281,2.787724,0.065615,2.706962,2.903035,2.784073,2.881817,5,staged,1
69,3,stress_load,3,3,0.508051,0.777159,4.385854,3.169463,2.720407,10.72333,2.859572,9.15723,5,staged,1
70,3,stress_load,3,3,0.554351,0.76994,2.731225,0.080263,2.666832,2.871183,2.673962,2.85139,5,staged,1
71,3,stress_load,3,3,0.519969,0.774845,2.774343,0.069464,2.670851,2.880664,2.763666,2.866457,5,staged,1
72,1,stress_load,2,3,0.560625,0.770308,2.832028,0.124803,2.665425,2.993293,2.77622,2.986715,5,staged,1
73,3,stress_load,2,3,0.531154,0.775441,2.803909,0.08802,2.676352,2.914219,2.787665,2.909271,5,staged,1
74,3,stress_load,3,3,0.513194,0.775643,2.804476,0.079896,2.701573,2.937293,2.779313,2.918056,5,staged,1
75,3,stress_load,3,3,0.543723,0.771617,2.798168,0.09288,2.672666,2.93083,2.801202,2.917223,5,staged,1
76,3,stress_load,3,3,0.562809,0.767929,4.410657,3.136298,2.680499,10.67896,2.879609,9.149623,5,staged,1
77,3,stress_load,3,3,0.560172,0.768289,2.731017,0.062232,2.649166,2.828794,2.738647,2.814324,5,staged,1
78,3,stress_load,3,3,0.520764,0.775629,2.78908,0.100624,2.659888,2.926442,2.737313,2.918453,5,staged,1
79,3,stress_load,3,3,0.544852,0.771579,2.789865,0.076442,2.693721,2.894479,2.766055,2.888009,5,staged,1
80,3,stress_load,3,3,0.513319,0.776263,2.786524,0.10023,2.663425,2.934831,2.798128,2.917153,5,staged,1
81,3,stress_load,3,3,0.543491,0.771959,2.790261,0.073933,2.692629,2.916572,2.770684,2.895728,5,staged,1
