sample_id,true_label,scenario,predicted_label,exit_point,confidence,entropy,inference_ms,inference_std_ms,inference_min_ms,inference_max_ms,inference_p50_ms,inference_p95_ms,measurement_repeats,inference_mode,dynamic_theta
0,0,normal_idle,0,1,0.912413,0.324418,0.502374,0.010781,0.49207,0.517718,0.495496,0.516785,5,staged,1
1,0,normal_idle,0,1,0.918463,0.309994,0.571563,0.109827,0.497589,0.787939,0.519366,0.740595,5,staged,1
2,0,normal_idle,0,1,0.919771,0.306436,0.55333,0.09292,0.491515,0.736532,0.509423,0.696284,5,staged,1
3,0,normal_idle,0,1,0.921111,0.302917,0.550377,0.0803,0.493774,0.708124,0.509866,0.67418,5,staged,1
4,0,normal_idle,0,1,0.922972,0.299647,0.551259,0.091264,0.490255,0.730291,0.504367,0.692151,5,staged,1
5,0,normal_idle,0,1,0.92225,0.301649,0.550759,0.067216,0.486663,0.660792,0.519144,0.647622,5,staged,1
6,0,normal_idle,0,1,0.921302,0.303841,0.552855,0.067172,0.492589,0.67881,0.52257,0.655592,5,staged,1
7,0,normal_idle,0,1,0.920455,0.305835,0.55554,0.061723,0.502997,0.670198,0.528571,0.649746,5,staged,1
8,0,normal_idle,0,1,0.915011,0.31821,0.548955,0.061494,0.488126,0.658551,0.5237,0.641036,5,staged,1
9,0,normal_idle,0,1,0.918614,0.309213,0.537937,0.066948,0.487774,0.668661,0.506478,0.641098,5,staged,1
10,0,normal_idle,0,1,0.919087,0.307641,0.536222,0.074289,0.488163,0.68268,0.499089,0.650666,5,staged,1
11,0,normal_idle,0,1,0.913287,0.321238,0.547207,0.084305,0.492441,0.713106,0.502792,0.677295,5,staged,1
12,0,normal_idle,0,1,0.912235,0.323982,0.545967,0.067518,0.48783,0.657847,0.501904,0.64441,5,staged,1
13,0,normal_idle,0,1,0.91326,0.322021,0.551892,0.054268,0.50033,0.650273,0.521718,0.634106,5,staged,1
14,0,normal_idle,0,1,0.918751,0.309904,0.5511,0.053913,0.498441,0.647273,0.521552,0.632192,5,staged,1
15,1,low_load,1,1,0.969117,0.164158,0.544211,0.062366,0.490533,0.653569,0.51196,0.637469,5,staged,1
16,1,low_load,1,1,0.95718,0.207195,0.543526,0.072937,0.4942,0.686217,0.502922,0.656314,5,staged,1
17,1,low_load,1,1,0.900153,0.367478,0.537503,0.070261,0.492423,0.675976,0.49694,0.64595,5,staged,1
18,1,low_load,1,1,0.907259,0.35037,0.553037,0.088816,0.491311,0.726236,0.506404,0.690321,5,staged,1
19,1,low_load,1,1,0.959247,0.201329,0.553484,0.065612,0.491885,0.66305,0.519199,0.64921,5,staged,1
20,1,low_load,1,1,0.963732,0.184481,0.546744,0.056899,0.494071,0.648032,0.51407,0.63244,5,staged,1
21,1,low_load,1,1,0.929775,0.291174,0.551552,0.058034,0.498922,0.660087,0.518867,0.640421,5,staged,1
22,1,low_load,1,1,0.962624,0.188725,0.543196,0.061692,0.495441,0.661384,0.519867,0.637784,5,staged,1
23,1,low_load,1,1,0.923243,0.311108,0.533907,0.069272,0.485996,0.669421,0.498403,0.640892,5,staged,1
24,1,low_load,1,1,0.904402,0.364446,0.533996,0.072577,0.4847,0.675736,0.496126,0.646158,5,staged,1
25,1,low_load,1,1,0.94677,0.246915,0.541903,0.077014,0.482015,0.688754,0.502589,0.660658,5,staged,1
26,1,low_load,1,1,0.96136,0.194762,0.547055,0.058206,0.490589,0.650847,0.536496,0.633032,5,staged,1
27,1,low_load,1,1,0.959321,0.201481,0.554133,0.061342,0.499181,0.655754,0.513922,0.643536,5,staged,1
28,1,low_load,1,1,0.950998,0.2286,0.545259,0.059655,0.494089,0.654014,0.516348,0.635877,5,staged,1
29,1,low_load,1,1,0.949016,0.235599,0.529337,0.065982,0.483052,0.659181,0.495015,0.631033,5,staged,1
30,1,low_load,1,1,0.927699,0.300074,0.536215,0.063879,0.494737,0.661625,0.500478,0.634936,5,staged,1
31,1,low_load,1,2,0.932671,0.296401,1.368642,0.289133,1.171177,1.942282,1.229954,1.810876,5,staged,1
32,1,low_load,1,2,0.926277,0.315414,1.203176,0.134482,1.096232,1.465971,1.163917,1.407393,5,staged,1
