sample_id,true_label,scenario,predicted_label,exit_point,confidence,entropy,inference_ms,inference_std_ms,inference_min_ms,inference_max_ms,inference_p50_ms,inference_p95_ms,measurement_repeats,inference_mode,dynamic_theta
0,0,normal_idle,0,2,0.920957,0.304265,1.639556,0.058694,1.577119,1.746489,1.613859,1.727815,5,staged,0
1,0,normal_idle,0,2,0.920265,0.307489,1.687363,0.094326,1.570248,1.817192,1.648044,1.809388,5,staged,0
2,0,normal_idle,0,2,0.920114,0.308051,1.687937,0.100939,1.590748,1.856154,1.627008,1.83524,5,staged,0
3,0,normal_idle,0,2,0.919952,0.308765,1.718,0.077145,1.611008,1.845099,1.709637,1.824855,5,staged,0
4,0,normal_idle,0,1,0.923028,0.299579,0.710054,0.143034,0.575088,0.953216,0.639384,0.920453,5,staged,0
5,0,normal_idle,0,2,0.918413,0.314278,1.647785,0.069557,1.568452,1.774378,1.625989,1.751145,5,staged,0
6,0,normal_idle,0,2,0.918912,0.312731,1.693167,0.086255,1.601786,1.822229,1.648212,1.811388,5,staged,0
7,0,normal_idle,0,2,0.919245,0.311465,1.713837,0.076395,1.61123,1.835729,1.704859,1.818877,5,staged,0
8,0,normal_idle,0,2,0.92086,0.305051,2.469058,1.64855,1.569008,5.762814,1.633545,4.967008,5,staged,0
9,0,normal_idle,0,2,0.920363,0.307342,1.704644,0.101323,1.566712,1.840432,1.660137,1.832636,5,staged,0
10,0,normal_idle,0,2,0.920677,0.306027,2.460691,1.589948,1.561064,5.637129,1.706451,4.865456,5,staged,0
11,0,normal_idle,0,2,0.921565,0.302047,1.712033,0.114486,1.564823,1.848358,1.668729,1.847458,5,staged,0
12,0,normal_idle,0,2,0.921448,0.302274,2.438017,1.705011,1.540675,5.847443,1.596915,5.005345,5,staged,0
13,0,normal_idle,0,2,0.921143,0.303778,1.715418,0.106701,1.562175,1.834414,1.721377,1.832858,5,staged,0
14,0,normal_idle,0,2,0.919739,0.309599,1.708589,0.080541,1.585526,1.80071,1.689711,1.799273,5,staged,0
15,1,low_load,1,1,0.969308,0.163334,0.752821,0.083566,0.679977,0.904975,0.71355,0.879612,5,staged,0
16,1,low_load,1,1,0.957883,0.204721,0.647007,0.109201,0.576756,0.862457,0.58881,0.815354,5,staged,0
17,1,low_load,1,2,0.940115,0.27295,1.715885,0.08574,1.590064,1.822766,1.718655,1.816692,5,staged,0
18,1,low_load,1,2,0.942016,0.266664,2.467458,1.595118,1.561786,5.654018,1.754451,4.874127,5,staged,0
19,1,low_load,1,1,0.959705,0.199652,1.463872,1.593116,0.584292,4.645043,0.635069,3.883941,5,staged,0
20,1,low_load,1,1,0.963989,0.183467,1.445846,1.598612,0.583052,4.640265,0.619792,3.867159,5,staged,0
21,1,low_load,1,1,0.9299,0.290882,1.445246,1.599712,0.584125,4.642136,0.620885,3.867111,5,staged,0
22,1,low_load,1,1,0.962714,0.188337,0.711417,0.052127,0.622051,0.773384,0.722736,0.76808,5,staged,0
23,1,low_load,1,2,0.946313,0.252222,1.659152,0.061277,1.571897,1.750692,1.669285,1.738118,5,staged,0
24,1,low_load,1,2,0.941722,0.268129,1.661748,0.120301,1.571637,1.896543,1.596027,1.847477,5,staged,0
25,1,low_load,1,1,0.947007,0.246023,0.659625,0.110268,0.565903,0.873809,0.630663,0.826539,5,staged,0
26,1,low_load,1,1,0.961537,0.194044,0.738925,0.081368,0.677162,0.897883,0.698885,0.864339,5,staged,0
27,1,low_load,1,1,0.959552,0.200562,0.666799,0.088017,0.578385,0.776643,0.617977,0.775354,5,staged,0
