sample_id,true_label,scenario,predicted_label,exit_point,confidence,entropy,inference_ms,inference_std_ms,inference_min_ms,inference_max_ms,inference_p50_ms,inference_p95_ms,measurement_repeats,inference_mode,dynamic_theta
0,0,normal_idle,0,2,0.920502,0.305551,1.130281,0.072173,1.064344,1.263806,1.109159,1.239299,5,staged,0
1,0,normal_idle,0,2,0.9201,0.307956,1.160029,0.099866,1.061419,1.328788,1.115696,1.30614,5,staged,0
2,0,normal_idle,0,2,0.919944,0.308461,1.164529,0.077567,1.073752,1.268676,1.130066,1.263802,5,staged,0
3,0,normal_idle,0,2,0.920009,0.30859,1.11114,0.10579,1.004789,1.305898,1.057066,1.271517,5,staged,0
4,0,normal_idle,0,1,0.922972,0.299647,0.562326,0.070555,0.490386,0.692495,0.559404,0.665895,5,staged,0
5,0,normal_idle,0,2,0.917942,0.315538,1.117748,0.078589,1.0339,1.219621,1.069863,1.216884,5,staged,0
6,0,normal_idle,0,2,0.918494,0.313808,1.118247,0.109875,1.003974,1.322009,1.096122,1.282302,5,staged,0
7,0,normal_idle,0,2,0.918909,0.312404,1.076745,0.103826,0.98992,1.273361,1.04229,1.23508,5,staged,0
8,0,normal_idle,0,2,0.920456,0.306223,1.12194,0.108348,1.018678,1.329491,1.091455,1.285706,5,staged,0
9,0,normal_idle,0,2,0.919995,0.308304,1.120778,0.058441,1.052271,1.209473,1.091252,1.201155,5,staged,0
10,0,normal_idle,0,2,0.920265,0.307145,1.136041,0.087872,1.033049,1.255677,1.105697,1.24904,5,staged,0
11,0,normal_idle,0,2,0.921178,0.303101,1.089918,0.105928,0.990938,1.25301,1.031511,1.237866,5,staged,0
12,0,normal_idle,0,2,0.921112,0.303194,1.107215,0.101366,0.999326,1.285584,1.075011,1.257173,5,staged,0
13,0,normal_idle,0,2,0.920586,0.305323,1.119066,0.105181,1.042771,1.326102,1.066048,1.280921,5,staged,0
14,0,normal_idle,0,2,0.919599,0.310028,1.14584,0.070438,1.0604,1.244566,1.106215,1.238266,5,staged,0
15,1,low_load,1,1,0.969117,0.164158,0.579118,0.085355,0.525015,0.748458,0.53307,0.710162,5,staged,0
16,1,low_load,1,1,0.95718,0.207195,0.530693,0.083623,0.476163,0.695866,0.489293,0.659362,5,staged,0
17,1,low_load,1,2,0.939687,0.274454,1.099881,0.102114,0.995104,1.283806,1.049104,1.25351,5,staged,0
18,1,low_load,1,2,0.941925,0.267054,1.079078,0.112448,0.98679,1.291176,1.030253,1.251473,5,staged,0
19,1,low_load,1,1,0.959247,0.201329,0.536471,0.093367,0.475349,0.721236,0.488645,0.680021,5,staged,0
20,1,low_load,1,1,0.963732,0.184481,0.579977,0.076706,0.524181,0.728847,0.537885,0.698606,5,staged,0
21,1,low_load,1,1,0.929775,0.291174,0.540356,0.084264,0.472904,0.692088,0.490978,0.668133,5,staged,0
22,1,low_load,1,1,0.962624,0.188725,1.329672,1.596104,0.479774,4.519709,0.504348,3.744766,5,staged,0
23,1,low_load,1,2,0.946248,0.252457,1.097474,0.097822,0.993123,1.242992,1.059585,1.230496,5,staged,0
24,1,low_load,1,2,0.941653,0.26844,1.115485,0.106046,1.020808,1.32251,1.078215,1.275588,5,staged,0
25,1,low_load,1,1,0.94677,0.246915,0.574215,0.08555,0.481645,0.728273,0.564311,0.699869,5,staged,0
26,1,low_load,1,1,0.96136,0.194762,0.556782,0.063052,0.481867,0.654329,0.556904,0.642022,5,staged,0
27,1,low_load,1,1,0.959321,0.201481,0.577163,0.065502,0.520052,0.702717,0.551756,0.67744,5,staged,0
28,1,low_load,1,1,0.950998,0.2286,0.515722,0.064665,0.471182,0.643273,0.483348,0.615247,5,staged,0
29,1,low_load,1,1,0.949016,0.235599,0.570508,0.076147,0.519904,0.719477,0.528367,0.688262,5,staged,0
