sample_id,true_label,scenario,predicted_label,exit_point,confidence,entropy,inference_ms,inference_std_ms,inference_min_ms,inference_max_ms,inference_p50_ms,inference_p95_ms,measurement_repeats,inference_mode,dynamic_theta
0,0,normal_idle,0,2,0.914389,0.325809,1.698442,0.100153,1.615214,1.893005,1.661787,1.851602,5,staged-confidence,0
1,0,normal_idle,0,2,0.913409,0.329956,1.702578,0.0723,1.617695,1.79871,1.682397,1.793973,5,staged-confidence,0
2,0,normal_idle,0,2,0.913103,0.331047,1.677715,0.050875,1.618102,1.753914,1.649416,1.74721,5,staged-confidence,0
3,0,normal_idle,0,2,0.912831,0.332285,1.666094,0.092396,1.553992,1.806302,1.661231,1.790195,5,staged-confidence,0
4,0,normal_idle,0,2,0.911105,0.338469,1.717474,0.162366,1.579232,2.027854,1.691378,1.961196,5,staged-confidence,0
5,0,normal_idle,0,2,0.910316,0.340652,1.711838,0.097887,1.583436,1.825728,1.698101,1.824676,5,staged-confidence,0
6,0,normal_idle,0,2,0.911476,0.336947,1.705763,0.075007,1.596232,1.813432,1.6886,1.802817,5,staged-confidence,0
7,0,normal_idle,0,2,0.911975,0.335112,1.648853,0.057829,1.573677,1.73373,1.627768,1.726086,5,staged-confidence,0
8,0,normal_idle,0,2,0.913803,0.327603,1.678705,0.084887,1.592862,1.818395,1.650324,1.800573,5,staged-confidence,0
9,0,normal_idle,0,2,0.913555,0.329531,1.700834,0.071389,1.601936,1.824969,1.689027,1.799914,5,staged-confidence,0
10,0,normal_idle,0,2,0.913741,0.328835,2.478876,1.65257,1.552492,5.78042,1.648287,4.982282,5,staged-confidence,0
11,0,normal_idle,0,2,0.914967,0.323904,1.712404,0.08489,1.591973,1.827469,1.696564,1.819077,5,staged-confidence,0
12,0,normal_idle,0,2,0.91491,0.323824,2.456836,1.584484,1.561214,5.622108,1.717637,4.852925,5,staged-confidence,0
13,0,normal_idle,0,2,0.914522,0.325586,1.704026,0.097271,1.584677,1.827543,1.671268,1.823769,5,staged-confidence,0
14,0,normal_idle,0,2,0.912666,0.332781,2.446466,1.694764,1.562326,5.83566,1.61264,4.995226,5,staged-confidence,0
15,1,low_load,1,1,0.903521,0.378833,0.645392,0.110538,0.570694,0.863744,0.593434,0.815223,5,staged-confidence,0
16,1,low_load,1,1,0.86579,0.462548,0.743457,0.082514,0.677507,0.903873,0.714617,0.869644,5,staged-confidence,0
17,1,low_load,1,2,0.937063,0.281142,1.670908,0.080194,1.561751,1.781914,1.67149,1.772051,5,staged-confidence,0
18,1,low_load,1,2,0.937355,0.279906,1.711967,0.107918,1.590714,1.841394,1.665694,1.841187,5,staged-confidence,0
19,1,low_load,1,1,0.879098,0.436993,0.75922,0.107859,0.686377,0.968613,0.696636,0.926214,5,staged-confidence,0
20,1,low_load,1,1,0.877002,0.4392,0.631126,0.094639,0.567008,0.816134,0.583175,0.777287,5,staged-confidence,0
21,1,low_load,1,2,0.935784,0.285706,1.688871,0.072237,1.593362,1.813284,1.67036,1.79204,5,staged-confidence,0
22,1,low_load,1,1,0.878647,0.440171,0.751265,0.104898,0.623804,0.942021,0.742135,0.902536,5,staged-confidence,0
23,1,low_load,1,2,0.936002,0.285047,1.644742,0.049687,1.587547,1.705953,1.634231,1.704553,5,staged-confidence,0
24,1,low_load,1,2,0.934197,0.291113,1.689412,0.098978,1.575418,1.808543,1.647806,1.808062,5,staged-confidence,0
25,1,low_load,1,1,0.879142,0.446356,0.75655,0.118138,0.676877,0.989576,0.696433,0.938492,5,staged-confidence,0
26,1,low_load,1,1,0.876447,0.443026,0.635779,0.092264,0.568528,0.816968,0.590972,0.77785,5,staged-confidence,0
27,1,low_load,1,1,0.869759,0.457008,0.747306,0.078213,0.684544,0.89867,0.720469,0.86693,5,staged-confidence,0
28,1,low_load,1,1,0.85075,0.492385,0.641459,0.082286,0.576175,0.80219,0.61362,0.76702,5,staged-confidence,0
29,1,low_load,1,1,0.854039,0.490412,0.720366,0.07922,0.662711,0.875023,0.676507,0.842779,5,staged-confidence,0
30,1,low_load,1,2,0.935353,0.287226,1.65599,0.081965,1.557862,1.764266,1.636491,1.758918,5,staged-confidence,0
