sample_id,true_label,scenario,predicted_label,exit_point,confidence,entropy,inference_ms,inference_std_ms,inference_min_ms,inference_max_ms,inference_p50_ms,inference_p95_ms,measurement_repeats,inference_mode,dynamic_theta
0,0,normal_idle,0,2,0.914354,0.325945,1.070874,0.049297,1.001853,1.131851,1.067408,1.129281,5,staged-confidence,0
1,0,normal_idle,0,2,0.913754,0.328888,1.125955,0.142858,1.002391,1.39055,1.043316,1.344621,5,staged-confidence,0
2,0,normal_idle,0,2,0.913368,0.330287,1.134514,0.103746,1.052278,1.338662,1.096556,1.292307,5,staged-confidence,0
3,0,normal_idle,0,2,0.912898,0.33214,1.168054,0.129124,1.064889,1.420698,1.133333,1.363392,5,staged-confidence,0
4,0,normal_idle,0,2,0.911445,0.337468,1.129903,0.058926,1.069408,1.233775,1.129684,1.214979,5,staged-confidence,0
5,0,normal_idle,0,2,0.910594,0.339808,1.118933,0.104427,0.996354,1.275386,1.082186,1.260916,5,staged-confidence,0
6,0,normal_idle,0,2,0.911467,0.33689,1.910297,1.576528,0.994817,5.05145,1.095166,4.317663,5,staged-confidence,0
7,0,normal_idle,0,2,0.912068,0.334828,1.138406,0.081016,1.033056,1.250145,1.119944,1.242286,5,staged-confidence,0
8,0,normal_idle,0,2,0.913841,0.327568,1.100507,0.107721,1.00026,1.265997,1.041835,1.250745,5,staged-confidence,0
9,0,normal_idle,0,2,0.913643,0.329162,1.108937,0.098855,1.007557,1.278219,1.066278,1.254319,5,staged-confidence,0
10,0,normal_idle,0,2,0.913733,0.328805,1.123788,0.111498,1.040038,1.342459,1.079278,1.294704,5,staged-confidence,0
11,0,normal_idle,0,2,0.914893,0.323973,1.150814,0.071615,1.073722,1.255331,1.116055,1.247442,5,staged-confidence,0
12,0,normal_idle,0,2,0.914887,0.323757,1.122003,0.070548,1.038556,1.245478,1.115777,1.22383,5,staged-confidence,0
13,0,normal_idle,0,2,0.914421,0.325907,1.11524,0.118943,0.998409,1.263756,1.047649,1.262064,5,staged-confidence,0
14,0,normal_idle,0,2,0.912447,0.333403,1.104881,0.105603,1.005446,1.295849,1.067204,1.263701,5,staged-confidence,0
15,1,low_load,1,1,0.904199,0.376986,0.55145,0.112322,0.474937,0.773006,0.495954,0.724325,5,staged-confidence,0
16,1,low_load,1,1,0.864693,0.464748,0.579868,0.071456,0.524509,0.715858,0.543305,0.690021,5,staged-confidence,0
17,1,low_load,1,2,0.937264,0.280417,1.123207,0.07571,1.046741,1.253146,1.0835,1.235009,5,staged-confidence,0
18,1,low_load,1,2,0.937522,0.279314,1.137722,0.083046,1.036186,1.236979,1.106241,1.236479,5,staged-confidence,0
19,1,low_load,1,1,0.879285,0.436409,0.594705,0.098078,0.529325,0.788153,0.543102,0.74585,5,staged-confidence,0
20,1,low_load,1,1,0.877598,0.437778,0.544924,0.105174,0.471566,0.750524,0.49101,0.707369,5,staged-confidence,0
21,1,low_load,1,2,0.936038,0.284814,1.092637,0.11627,0.991316,1.315533,1.059816,1.26933,5,staged-confidence,0
22,1,low_load,1,1,0.879482,0.43822,0.536091,0.085997,0.478677,0.705543,0.487603,0.668751,5,staged-confidence,0
23,1,low_load,1,2,0.935956,0.285187,1.123337,0.094972,1.012835,1.23785,1.087833,1.23708,5,staged-confidence,0
24,1,low_load,1,2,0.934144,0.291268,1.099552,0.122779,1.000224,1.336903,1.062982,1.286619,5,staged-confidence,0
25,1,low_load,1,1,0.87969,0.44504,0.534061,0.085291,0.474177,0.702451,0.493992,0.665041,5,staged-confidence,0
26,1,low_load,1,1,0.876357,0.442994,0.578364,0.074274,0.531491,0.725209,0.539639,0.692706,5,staged-confidence,0
27,1,low_load,1,1,0.871473,0.453213,0.530521,0.07581,0.480955,0.681118,0.491159,0.646556,5,staged-confidence,0
28,1,low_load,1,1,0.852038,0.489853,0.573786,0.056999,0.522176,0.677785,0.545138,0.660378,5,staged-confidence,0
