sample_id,true_label,scenario,predicted_label,exit_point,confidence,entropy,inference_ms,inference_std_ms,inference_min_ms,inference_max_ms,inference_p50_ms,inference_p95_ms,measurement_repeats,inference_mode,dynamic_theta
0,0,step_run1,0,3,0.995623,0.029035,1.982473,0.035913,1.944311,2.049327,1.974996,2.036035,5,full,0
1,0,step_run1,0,3,0.996912,0.02156,1.977911,0.049741,1.918052,2.034569,2.006514,2.030117,5,full,0
2,0,step_run1,0,3,0.995253,0.031101,1.968615,0.024568,1.940793,2.011736,1.961978,2.004706,5,full,0
3,0,step_run1,0,3,0.964995,0.159279,1.962174,0.039907,1.916349,2.029865,1.964126,2.018402,5,full,0
4,1,step_run1,1,3,0.875066,0.466852,1.949304,0.038601,1.894683,1.985218,1.971755,1.984962,5,full,0
5,2,step_run1,2,3,0.563301,0.989461,1.95517,0.021745,1.930997,1.988847,1.9557,1.984558,5,full,0
6,2,step_run1,2,3,0.667271,0.682476,1.959252,0.047782,1.903608,2.038272,1.968533,2.024598,5,full,0
7,1,step_run1,1,3,0.432754,1.025548,1.963244,0.035444,1.919905,2.005291,1.982311,2.001606,5,full,0
8,1,step_run1,1,3,0.853813,0.525756,1.962085,0.022041,1.937163,1.999902,1.959811,1.993791,5,full,0
9,1,step_run1,1,3,0.822618,0.598103,1.9715,0.047598,1.913072,2.048087,1.97594,2.036465,5,full,0
10,2,step_run1,2,3,0.560948,0.991988,1.979129,0.030979,1.922571,2.015903,1.988458,2.011047,5,full,0
11,3,step_run1,3,3,0.731656,0.587805,1.9652,0.027339,1.930663,1.995884,1.967125,1.995592,5,full,0
12,2,step_run1,3,3,0.537659,0.839868,1.974266,0.047978,1.916257,2.04542,1.979514,2.036946,5,full,0
13,1,step_run1,1,3,0.766524,0.708792,1.997188,0.054992,1.949626,2.103808,1.97144,2.08149,5,full,0
14,3,step_run1,1,3,0.662426,0.867049,1.968859,0.038921,1.911256,2.003162,1.997106,2.002544,5,full,0
15,2,step_run1,3,3,0.536827,0.709052,1.964407,0.040273,1.90959,2.006143,1.98494,2.004684,5,full,0
16,1,step_run1,1,3,0.955929,0.227327,1.997732,0.070624,1.928311,2.114326,1.976366,2.099137,5,full,0
17,1,step_run1,1,3,0.836144,0.567432,1.956622,0.036224,1.913016,1.998236,1.965848,1.996695,5,full,0
