sample_id,true_label,scenario,predicted_label,exit_point,confidence,entropy,inference_ms,inference_std_ms,inference_min_ms,inference_max_ms,inference_p50_ms,inference_p95_ms,measurement_repeats,inference_mode,dynamic_theta
0,0,step_run1,0,1,0.986489,0.072478,0.747995,0.024849,0.725078,0.793835,0.736336,0.785828,5,staged,1
1,0,step_run1,0,1,0.987939,0.065985,0.73708,0.090488,0.640838,0.881555,0.682559,0.865789,5,staged,1
2,0,step_run1,0,1,0.982916,0.087631,0.805868,0.05223,0.74691,0.894333,0.795187,0.881155,5,staged,1
3,0,step_run1,0,1,0.932171,0.2532,0.731818,0.107866,0.625357,0.890944,0.674041,0.878692,5,staged,1
4,1,step_run1,1,2,0.924421,0.323233,3.292661,3.201802,1.610004,9.69437,1.668743,8.123185,5,staged,1
5,2,step_run1,2,3,0.563301,0.989461,2.752338,0.114043,2.608668,2.924938,2.70224,2.907938,5,staged,1
6,2,step_run1,2,3,0.667271,0.682476,2.862947,0.163521,2.611519,3.010622,2.97153,3.007759,5,staged,1
7,1,step_run1,1,3,0.432754,1.025548,2.726946,0.082904,2.634334,2.83044,2.680351,2.828977,5,staged,1
8,1,step_run1,1,2,0.754171,0.733428,3.307938,3.201383,1.600762,9.708388,1.749186,8.135699,5,staged,1
9,1,step_run1,1,2,0.828892,0.591167,1.721467,0.107873,1.611429,1.926219,1.695723,1.883083,5,staged,1
10,2,step_run1,2,3,0.560948,0.991988,4.302798,3.177155,2.623686,10.655794,2.709999,9.089768,5,staged,1
11,3,step_run1,3,2,0.691877,0.628183,1.755107,0.054808,1.65291,1.807554,1.775721,1.804395,5,staged,1
12,2,step_run1,3,2,0.697017,0.733294,1.780592,0.109483,1.624744,1.956959,1.749427,1.93113,5,staged,1
13,1,step_run1,1,3,0.766524,0.708792,4.271025,3.18525,2.599556,10.640295,2.711128,9.067598,5,staged,1
14,3,step_run1,1,3,0.662426,0.867049,2.687325,0.08459,2.61413,2.812626,2.626926,2.803252,5,staged,1
15,2,step_run1,2,2,0.504666,0.747312,1.745356,0.09743,1.615281,1.861312,1.744945,1.858008,5,staged,1
16,1,step_run1,1,2,0.891316,0.45147,3.283346,3.217928,1.603855,9.717851,1.651651,8.133962,5,staged,1
17,1,step_run1,1,2,0.80908,0.641757,1.772974,0.062175,1.689557,1.868294,1.761908,1.857098,5,staged,1
18,1,step_run1,1,3,0.681109,0.839489,2.684962,0.070345,2.61263,2.808533,2.654259,2.789622,5,staged,1
19,1,step_run1,1,2,0.854717,0.525486,1.776363,0.068042,1.683354,1.882683,1.762592,1.869216,5,staged,1
20,1,step_run1,1,2,0.821193,0.601565,1.704476,0.054063,1.632558,1.785815,1.687058,1.777404,5,staged,1
21,1,step_run1,1,3,0.692723,0.829385,4.287225,3.204673,2.604186,10.695979,2.70074,9.103716,5,staged,1
22,1,step_run1,1,3,0.449392,1.029154,2.764927,0.097505,2.634741,2.903642,2.71935,2.892705,5,staged,1
23,1,step_run1,2,3,0.39005,1.081151,4.272254,3.174763,2.619482,10.620295,2.694684,9.057665,5,staged,1
24,3,step_run1,2,3,0.736892,0.659212,2.685199,0.077638,2.618853,2.809126,2.631278,2.796193,5,staged,1
25,2,step_run1,2,3,0.725321,0.661338,2.741735,0.074215,2.665296,2.844959,2.701702,2.839315,5,staged,1
26,3,step_run1,2,3,0.530101,1.024458,2.701617,0.056749,2.642204,2.809533,2.688296,2.786045,5,staged,1
27,3,step_run1,1,3,0.787184,0.675326,2.694014,0.115757,2.511522,2.841366,2.678555,2.831422,5,staged,1
28,2,step_run1,2,3,0.561604,0.996288,4.298361,3.205412,2.606667,10.706849,2.724054,9.134023,5,staged,1
29,1,step_run1,1,2,0.885501,0.451,1.7323,0.113765,1.57567,1.902349,1.723463,1.882831,5,staged,1
30,1,step_run1,2,3,0.600181,0.95199,2.699225,0.083778,2.607094,2.841607,2.709036,2.816541,5,staged,1
31,2,step_run1,2,3,0.701618,0.797813,2.714265,0.06272,2.635,2.824811,2.705332,2.804556,5,staged,1
32,2,step_run1,2,3,0.722035,0.739439,4.309965,3.159818,2.616056,10.626351,2.720795,9.084346,5,staged,1
33,1,step_run1,1,3,0.825606,0.59343,2.684169,0.05192,2.604075,2.765256,2.682944,2.752182,5,staged,1
34,2,step_run1,2,3,0.60848,0.869988,2.745346,0.091937,2.633982,2.872402,2.693999,2.86501,5,staged,1
35,1,step_run1,1,3,0.478871,1.041499,2.709869,0.079725,2.611778,2.819774,2.670759,2.813311,5,staged,1
36,3,step_run1,1,3,0.841164,0.559225,4.296884,3.165753,2.618927,10.627184,2.741571,9.063184,5,staged,1
37,3,step_run1,1,3,0.565875,1.013844,2.70968,0.074658,2.619519,2.844866,2.705647,2.817218,5,staged,1
38,2,step_run1,2,3,0.693519,0.820121,2.697577,0.070505,2.61887,2.823237,2.687629,2.800863,5,staged,1
39,2,step_run1,2,3,0.720166,0.711514,2.699028,0.121187,2.52541,2.860365,2.683703,2.849102,5,staged,1
40,2,step_run1,2,3,0.654649,0.885972,2.653462,0.127497,2.500058,2.882124,2.64824,2.837107,5,staged,1
41,2,step_run1,2,3,0.680545,0.839066,2.676818,0.086564,2.571372,2.8032,2.644592,2.792671,5,staged,1
42,2,step_run1,2,3,0.680812,0.839982,2.68411,0.121925,2.56515,2.904328,2.675166,2.86317,5,staged,1
43,0,step_run1,0,1,0.984419,0.08124,0.801835,0.093576,0.688189,0.972776,0.790965,0.936947,5,staged,1
44,0,step_run1,0,1,0.984285,0.081793,0.728874,0.068778,0.634653,0.80465,0.753558,0.801835,5,staged,1
45,0,step_run1,0,1,0.987581,0.067543,0.796383,0.052215,0.746058,0.884926,0.765188,0.873241,5,staged,1
46,0,step_run1,0,1,0.99011,0.056028,0.705207,0.095312,0.624746,0.876185,0.650801,0.849426,5,staged,1
47,0,step_run1,0,1,0.925183,0.27116,0.758466,0.035952,0.719152,0.811575,0.744614,0.807131,5,staged,1
48,1,step_run2,1,1,0.938833,0.289404,0.777773,0.059206,0.737725,0.8935,0.745985,0.869301,5,staged,1
49,2,step_run2,2,3,0.716456,0.702024,2.708384,0.094654,2.579223,2.850496,2.679685,2.835455,5,staged,1
50,2,step_run2,2,2,0.618046,0.742243,1.702275,0.098052,1.587541,1.852923,1.701335,1.834527,5,staged,1
51,2,step_run2,2,2,0.550588,0.732026,1.739811,0.045335,1.677446,1.797092,1.743963,1.793588,5,staged,1
52,2,step_run2,2,3,0.720961,0.682757,2.692362,0.060174,2.611611,2.790682,2.672036,2.776771,5,staged,1
53,1,step_run2,1,2,0.777306,0.696543,1.73746,0.050695,1.671798,1.806851,1.738944,1.801062,5,staged,1
54,1,step_run2,1,2,0.755577,0.731275,1.716409,0.041423,1.649614,1.769185,1.711427,1.765278,5,staged,1
55,1,step_run2,1,2,0.772715,0.703702,1.730664,0.079506,1.627688,1.839239,1.70226,1.832569,5,staged,1
56,1,step_run2,1,3,0.629093,0.9079,2.676481,0.034156,2.63063,2.734202,2.669629,2.724761,5,staged,1
57,2,step_run2,2,3,0.69042,0.82024,2.710213,0.075328,2.625371,2.820904,2.665296,2.812267,5,staged,1
58,2,step_run2,2,3,0.657476,0.881463,4.260736,3.204004,2.57402,10.667035,2.667018,9.091676,5,staged,1
59,3,step_run2,1,3,0.401824,1.093821,4.251736,3.203707,2.564298,10.658146,2.668055,9.074368,5,staged,1
60,2,step_run2,2,3,0.572007,0.97764,2.680747,0.129662,2.547984,2.904291,2.631389,2.871669,5,staged,1
61,3,step_run2,1,3,0.585079,0.959821,2.679032,0.08831,2.565428,2.802015,2.704776,2.787823,5,staged,1
62,3,step_run2,3,2,0.747693,0.632818,3.264327,3.230464,1.593559,9.724555,1.63441,8.127044,5,staged,1
63,3,step_run2,3,2,0.534646,0.703586,1.747052,0.094724,1.607874,1.873646,1.761444,1.861754,5,staged,1
64,3,step_run2,3,2,0.887947,0.358031,1.712993,0.06507,1.612966,1.775166,1.742612,1.774859,5,staged,1
65,3,step_run2,3,2,0.807457,0.518338,1.773396,0.090138,1.674502,1.935886,1.763815,1.90559,5,staged,1
66,3,step_run2,3,2,0.699936,0.674885,3.291931,3.209223,1.640613,9.710129,1.698743,8.113696,5,staged,1
67,3,step_run2,3,2,0.562191,0.729861,1.717971,0.076001,1.5933,1.800055,1.738778,1.796707,5,staged,1
68,3,step_run2,3,2,0.587505,0.718106,1.744882,0.066108,1.657688,1.859757,1.746723,1.837332,5,staged,1
