sample_id,true_label,scenario,predicted_label,exit_point,confidence,entropy,inference_ms,inference_std_ms,inference_min_ms,inference_max_ms,inference_p50_ms,inference_p95_ms,measurement_repeats,inference_mode,dynamic_theta
0,0,step_run1,0,1,0.986489,0.072478,0.72614,0.069853,0.672856,0.8615,0.691652,0.833945,5,staged,0
1,0,step_run1,0,1,0.987939,0.065985,0.729195,0.107796,0.594765,0.904999,0.72617,0.878948,5,staged,0
2,0,step_run1,0,1,0.982916,0.087631,0.767199,0.0702,0.692541,0.876982,0.722688,0.865952,5,staged,0
3,0,step_run1,0,1,0.932171,0.2532,0.6855,0.109517,0.579524,0.861038,0.629486,0.84172,5,staged,0
4,1,step_run1,1,2,0.924421,0.323233,1.714427,0.074937,1.628077,1.826276,1.711112,1.814221,5,staged,0
5,2,step_run1,2,3,0.563301,0.989461,2.698294,0.155198,2.496058,2.923049,2.687628,2.900927,5,staged,0
6,2,step_run1,2,3,0.667271,0.682476,2.691265,0.080917,2.606481,2.842533,2.667554,2.812882,5,staged,0
7,1,step_run1,1,3,0.432754,1.025548,2.708498,0.081526,2.619797,2.814292,2.690017,2.809903,5,staged,0
8,1,step_run1,1,3,0.853813,0.525756,2.686532,0.110664,2.535484,2.827811,2.681592,2.82017,5,staged,0
9,1,step_run1,1,2,0.828892,0.591167,1.697382,0.130258,1.582411,1.943773,1.64115,1.896896,5,staged,0
10,2,step_run1,2,3,0.560948,0.991988,2.683777,0.127848,2.480448,2.82807,2.654944,2.825244,5,staged,0
11,3,step_run1,3,3,0.731656,0.587805,4.363656,3.183872,2.627685,10.728477,2.811792,9.167025,5,staged,0
12,2,step_run1,3,3,0.537659,0.839868,2.693854,0.089997,2.569724,2.836773,2.685702,2.816655,5,staged,0
13,1,step_run1,1,3,0.766524,0.708792,4.308001,3.164812,2.624908,10.63496,2.691369,9.087533,5,staged,0
14,3,step_run1,1,3,0.662426,0.867049,2.718524,0.123389,2.619222,2.954808,2.65437,2.908831,5,staged,0
15,2,step_run1,3,3,0.536827,0.709052,2.722435,0.172244,2.588945,3.034399,2.606389,2.984622,5,staged,0
16,1,step_run1,1,2,0.891316,0.45147,1.7381,0.100175,1.583504,1.855516,1.722445,1.852046,5,staged,0
17,1,step_run1,1,3,0.836144,0.567432,2.687402,0.100805,2.601853,2.859514,2.627685,2.836507,5,staged,0
18,1,step_run1,1,3,0.681109,0.839489,2.731279,0.088953,2.618315,2.845477,2.696387,2.841481,5,staged,0
19,1,step_run1,1,2,0.854717,0.525486,1.722015,0.027932,1.683631,1.7595,1.710409,1.757278,5,staged,0
20,1,step_run1,1,3,0.773686,0.697585,2.713987,0.078949,2.609796,2.834125,2.706776,2.819981,5,staged,0
21,1,step_run1,1,3,0.692723,0.829385,2.680906,0.056438,2.607593,2.77833,2.667092,2.761856,5,staged,0
22,1,step_run1,1,3,0.449392,1.029154,4.283572,3.167513,2.59276,10.617275,2.759886,9.048323,5,staged,0
23,1,step_run1,2,3,0.39005,1.081151,2.691606,0.097751,2.571538,2.82844,2.669888,2.818392,5,staged,0
24,3,step_run1,2,3,0.736892,0.659212,2.701795,0.091161,2.587889,2.852718,2.696128,2.82967,5,staged,0
25,2,step_run1,2,3,0.725321,0.661338,2.646499,0.139219,2.493743,2.905808,2.62324,2.852435,5,staged,0
