sample_id,scenario,scenario_id,true_label,channel_occupancy_variance,fixed_pred,fixed_exit_point,fixed_theta_1,dynamic_pred,dynamic_exit_point,dynamic_theta_1
0,startup_surge,0,0,0.302313,,,,,,
4,startup_surge,0,0,0.336939,,,,,,
8,startup_surge,0,1,0.303112,,,,,,
12,startup_surge,0,0,0.338515,,,,,,
16,startup_surge,0,1,0.270845,,,,,,
20,startup_surge,0,0,0.296921,,,,,,
24,startup_surge,0,0,0.320988,,,,,,
28,startup_surge,0,0,0.188081,,,,,,
32,startup_surge,0,0,0.197311,,,,,,
36,startup_surge,0,1,0.329699,,,,,,
40,startup_surge,0,1,0.273147,,,,,,
44,startup_surge,0,0,0.374217,,,,,,
48,startup_surge,0,0,0.352054,,,,,,
52,startup_surge,0,1,0.276275,,,,,,
56,startup_surge,0,0,0.235109,,,,,,
60,startup_surge,0,1,0.265227,,,,,,
64,startup_surge,0,1,0.29328,,,,,,
68,startup_surge,0,1,0.31426,,,,,,
72,startup_surge,0,0,0.300567,,,,,,
76,startup_surge,0,0,0.175506,,,,,,
80,startup_surge,0,1,0.317846,,,,,,
84,startup_surge,0,0,0.339645,,,,,,
88,startup_surge,0,1,0.272648,,,,,,
92,startup_surge,0,0,0.243668,,,,,,
96,startup_surge,0,1,0.225485,,,,,,
100,startup_surge,0,1,0.314815,,,,,,
104,startup_surge,0,1,0.249717,,,,,,
108,startup_surge,0,1,0.30342,,,,,,
112,startup_surge,0,0,0.388107,,,,,,
116,startup_surge,0,0,0.388872,,,,,,
120,startup_surge,0,1,0.225005,,,,,,
124,startup_surge,0,1,0.29707,,,,,,
128,startup_surge,0,1,0.261692,,,,,,
132,startup_surge,0,0,0.278976,,,,,,
136,startup_surge,0,1,0.390467,,,,,,
140,startup_surge,0,0,0.341538,,,,,,
144,startup_surge,0,0,0.361413,,,,,,
148,startup_surge,0,0,0.409927,,,,,,
152,startup_surge,0,0,0.200473,,,,,,
156,startup_surge,0,0,0.274607,,,,,,
160,startup_surge,0,0,0.334238,,,,,,
164,startup_surge,0,1,0.266158,,,,,,
168,startup_surge,0,1,0.373941,,,,,,
172,startup_surge,0,1,0.226395,,,,,,
176,startup_surge,0,1,0.345491,,,,,,
180,startup_surge,0,1,0.198394,,,,,,
184,startup_surge,0,0,0.197295,,,,,,
188,startup_surge,0,1,0.304718,,,,,,
192,startup_surge,0,1,0.280259,,,,,,
196,startup_surge,0,0,0.329767,,,,,,
200,startup_surge,0,1,0.312534,,,,,,
204,startup_surge,0,0,0.218409,,,,,,
208,startup_surge,0,0,0.281309,,,,,,
212,startup_surge,0,1,0.146198,,,,,,
216,startup_surge,0,0,0.316361,,,,,,
220,startup_surge,0,0,0.262396,,,,,,
224,startup_surge,0,0,0.266866,,,,,,
