timestamp,scenario,poll_interval_s,throughput_mbps,channel_occupancy_percent,channel_occupancy_method,channel_rx_time_percent,channel_tx_time_percent,channel_ext_busy_percent,noise_dbm,latency_ms,probe_jitter_ms,probe_loss_pct,probe_ok,packet_loss_udp_percent,tx_retx_delta,tx_packets_delta,tx_retry_ratio,rssi_dbm,connected_clients,rssi_delta_db,rssi_moving_avg_dbm,sta_tx_bitrate_min,sta_tx_bitrate_mean,throughput_score,occupancy_score,jitter_score,loss_score,latency_score,retry_score,congestion_score,label
2026-09-01 22:19:33,smallpkt_knee_20260901,0.0,0.0,20.0,instantaneous,,,,-83.0,1.547,,,0,,0,0,0.0,-42.33,3,0.0,-42.33,0.0,0.0,0.0,0.125,0.0,0.0,0.0064,0.0,0.125,0
2026-09-01 22:19:35,smallpkt_knee_20260901,1.012,0.57,18.34,instantaneous_fallback,,,,-84.0,2.413,1.738,0.0,1,,0,207,0.0,-42.33,3,0.0,-42.33,150.0,150.0,0.0038,0.1146,0.0217,0.0,0.0101,0.0,0.1146,0
2026-09-01 22:19:36,smallpkt_knee_20260901,1.014,0.78,20.0,instantaneous_fallback,,,,-82.0,3.279,1.738,0.0,1,,2,263,0.0042,-42.33,3,0.0,-42.33,43.3,89.2,0.0052,0.125,0.0217,0.0,0.0137,0.0105,0.125,0
2026-09-01 22:19:37,smallpkt_knee_20260901,1.024,0.2,16.67,delta,,,,-60.0,6.207,5.169,0.0,1,,2,117,0.0068,-42.33,3,0.0,-42.33,135.0,135.0,0.0013,0.1042,0.0646,0.0,0.0259,0.017,0.1042,0
2026-09-01 22:19:38,smallpkt_knee_20260901,1.029,0.25,20.0,instantaneous_fallback,,,,-60.0,13.803,5.169,0.0,1,,6,133,0.0137,-42.33,3,0.0,-42.33,135.0,135.0,0.0017,0.125,0.0646,0.0,0.0575,0.0343,0.125,0
2026-09-01 22:19:39,smallpkt_knee_20260901,1.012,0.09,20.0,instantaneous_fallback,,,,-81.0,13.803,5.169,0.0,1,,0,24,0.0133,-42.67,3,-0.33,-42.4,43.3,50.5,0.0006,0.125,0.0646,0.0,0.0575,0.0332,0.125,0
2026-09-01 22:19:40,smallpkt_knee_20260901,1.014,0.21,20.0,instantaneous_fallback,,,,-84.0,6.19,5.169,0.0,1,,6,124,0.0236,-42.67,3,0.0,-42.47,90.0,90.0,0.0014,0.125,0.0646,0.0,0.0258,0.059,0.125,0
2026-09-01 22:19:41,smallpkt_knee_20260901,1.014,0.43,20.0,instantaneous_fallback,,,,-84.0,3.23,1.619,0.0,1,,4,217,0.0284,-43.0,3,-0.33,-42.6,6.5,57.1,0.0029,0.125,0.0202,0.0,0.0135,0.071,0.125,0
2026-09-01 22:19:42,smallpkt_knee_20260901,1.025,0.38,20.0,instantaneous_fallback,,,,-86.0,6.19,1.619,0.0,1,,0,218,0.0219,-43.0,3,0.0,-42.73,60.0,60.0,0.0025,0.125,0.0202,0.0,0.0258,0.0548,0.125,0
2026-09-01 22:19:43,smallpkt_knee_20260901,1.013,0.37,20.0,instantaneous_fallback,,,,-84.0,1.626,1.409,0.0,1,,0,207,0.0125,-43.0,3,0.0,-42.87,28.9,36.1,0.0025,0.125,0.0176,0.0,0.0068,0.0312,0.125,0
