timestamp,scenario,poll_interval_s,throughput_mbps,channel_occupancy_percent,channel_occupancy_method,channel_rx_time_percent,channel_tx_time_percent,channel_ext_busy_percent,noise_dbm,latency_ms,probe_jitter_ms,probe_loss_pct,probe_ok,packet_loss_udp_percent,tx_retx_delta,tx_packets_delta,tx_retry_ratio,rssi_dbm,connected_clients,rssi_delta_db,rssi_moving_avg_dbm,sta_tx_bitrate_min,sta_tx_bitrate_mean,throughput_score,occupancy_score,jitter_score,loss_score,latency_score,retry_score,congestion_score,label
2026-09-01 22:25:57,smallpkt_step_20260901,0.0,0.0,23.33,instantaneous,,,,-84.0,4.005,,,0,,0,0,0.0,-39.67,3,0.0,-39.67,0.0,0.0,0.0,0.1458,0.0,0.0,0.0167,0.0,0.1458,0
2026-09-01 22:25:59,smallpkt_step_20260901,1.018,0.54,20.0,instantaneous_fallback,,,,-60.0,5.066,2.293,0.0,1,,0,221,0.0,-39.33,3,0.33,-39.5,14.4,74.7,0.0036,0.125,0.0287,0.0,0.0211,0.0,0.125,0
2026-09-01 22:26:00,smallpkt_step_20260901,1.017,0.21,16.67,instantaneous_fallback,,,,-60.0,5.99,2.293,0.0,1,,0,127,0.0,-39.67,3,-0.33,-39.56,14.4,74.7,0.0014,0.1042,0.0287,0.0,0.025,0.0,0.1042,0
2026-09-01 22:26:01,smallpkt_step_20260901,1.009,2.31,16.67,instantaneous_fallback,,,,-63.0,5.99,1.537,0.0,1,,36,435,0.044,-39.67,3,0.0,-39.58,15.0,36.4,0.0154,0.1042,0.0192,0.0,0.025,0.11,0.1042,0
2026-09-01 22:26:02,smallpkt_step_20260901,1.013,0.63,20.0,instantaneous_fallback,,,,-62.0,2.841,1.537,0.0,1,,4,250,0.0373,-39.67,3,0.0,-39.6,57.8,65.0,0.0042,0.125,0.0192,0.0,0.0118,0.0932,0.125,0
2026-09-01 22:26:03,smallpkt_step_20260901,1.015,1.07,20.0,instantaneous_fallback,,,,-82.0,2.841,1.631,0.0,1,,12,279,0.0381,-39.67,3,0.0,-39.6,57.8,88.9,0.0071,0.125,0.0204,0.0,0.0118,0.0953,0.125,0
2026-09-01 22:26:04,smallpkt_step_20260901,1.014,0.39,16.67,instantaneous_fallback,,,,-86.0,2.841,1.631,0.0,1,,0,221,0.0381,-39.33,3,0.33,-39.6,108.0,108.0,0.0026,0.1042,0.0204,0.0,0.0118,0.0953,0.1042,0
2026-09-01 22:26:05,smallpkt_step_20260901,1.012,0.96,16.67,instantaneous_fallback,,,,-60.0,1.778,1.506,0.0,1,,0,264,0.0346,-39.33,3,0.0,-39.53,13.5,42.9,0.0064,0.1042,0.0188,0.0,0.0074,0.0865,0.1042,0
2026-09-01 22:26:06,smallpkt_step_20260901,1.013,14.22,16.67,instantaneous_fallback,,,,-86.0,1.778,1.506,0.0,1,,12,605,0.017,-37.67,3,1.67,-39.13,6.5,10.0,0.0948,0.1042,0.0188,0.0,0.0074,0.0425,0.1042,0
2026-09-01 22:26:07,smallpkt_step_20260901,1.014,0.5,16.67,instantaneous_fallback,,,,-84.0,2.059,1.403,0.0,1,,0,232,0.0148,-38.0,3,-0.33,-38.8,6.5,31.1,0.0033,0.1042,0.0175,0.0,0.0086,0.037,0.1042,0
2026-09-01 22:26:08,smallpkt_step_20260901,1.013,0.7,20.0,instantaneous_fallback,,,,-86.0,2.059,1.403,0.0,1,,0,254,0.0076,-37.67,3,0.33,-38.4,57.8,96.4,0.0047,0.125,0.0175,0.0,0.0086,0.019,0.125,0
2026-09-01 22:26:09,smallpkt_step_20260901,1.018,0.73,23.33,instantaneous_fallback,,,,-87.0,2.059,1.203,0.0,1,,2,296,0.0084,-38.0,3,-0.33,-38.13,6.5,26.7,0.0049,0.1458,0.015,0.0,0.0086,0.021,0.1458,0
2026-09-01 22:26:10,smallpkt_step_20260901,1.033,6.12,20.0,instantaneous_fallback,,,,-86.0,4.266,1.203,0.0,1,,340,1309,0.1161,-38.67,3,-0.67,-38.0,6.5,41.7,0.0408,0.125,0.015,0.0,0.0178,0.3305,0.125,0
2026-09-01 22:26:11,smallpkt_step_20260901,1.016,36.98,23.33,instantaneous_fallback,,,,-60.0,4.266,3.631,0.798,1,,4072,6852,0.3305,-38.67,3,0.0,-38.2,58.5,59.2,0.2465,0.1458,0.0454,0.399,0.0178,0.8842,0.399,1
2026-09-01 22:26:12,smallpkt_step_20260901,1.026,37.15,36.67,instantaneous_fallback,,,,-62.0,13.065,3.631,0.798,1,,850,7772,0.2421,-39.67,3,-1.0,-38.53,6.5,48.2,0.2477,0.2292,0.0454,0.399,0.0544,0.7303,0.399,1
2026-09-01 22:26:14,smallpkt_step_20260901,1.038,36.64,40.0,instantaneous_fallback,,,,-60.0,13.065,4.715,0.0,1,,3570,7379,0.2723,-38.67,3,1.0,-38.73,6.5,24.1,0.2443,0.25,0.0589,0.0,0.0544,0.7872,0.25,1
2026-09-01 22:26:15,smallpkt_step_20260901,1.038,34.74,43.33,instantaneous_fallback,,,,-58.0,13.853,4.715,0.0,1,,3052,6724,0.2835,-38.67,3,0.0,-38.87,58.5,96.8,0.2316,0.3055,0.0589,0.0,0.0577,0.8058,0.3055,1
2026-09-01 22:26:16,smallpkt_step_20260901,1.012,32.69,43.33,instantaneous_fallback,,,,-60.0,13.853,3.318,0.0,1,,3900,6377,0.3055,-37.33,3,1.33,-38.6,120.0,120.0,0.2179,0.3055,0.0415,0.0,0.0577,0.8425,0.3055,1
2026-09-01 22:26:17,smallpkt_step_20260901,1.046,34.2,46.67,instantaneous_fallback,,,,-59.0,16.996,3.318,0.0,1,,3824,6933,0.3016,-37.0,3,0.33,-38.27,121.5,121.5,0.228,0.3612,0.0415,0.0,0.0708,0.836,0.3612,1
2026-09-01 22:26:18,smallpkt_step_20260901,1.024,36.04,46.67,instantaneous_fallback,,,,-30.0,11.907,4.634,0.0,1,,4184,7117,0.3492,-36.0,3,1.0,-37.53,120.0,120.0,0.2403,0.3612,0.0579,0.0,0.0496,0.9153,0.3612,1
2026-09-01 22:26:19,smallpkt_step_20260901,1.035,43.78,50.0,instantaneous_fallback,,,,-30.0,20.194,4.634,0.0,1,,3224,6782,0.3489,-34.67,3,1.33,-36.73,120.0,120.0,0.2919,0.4167,0.0579,0.0,0.0841,0.9148,0.4167,1
2026-09-01 22:26:20,smallpkt_step_20260901,1.21,28.96,50.0,instantaneous_fallback,,,,-84.0,36.024,4.116,0.0,1,,3914,6823,0.3588,-33.33,3,1.33,-35.67,58.5,83.2,0.1931,0.4167,0.0514,0.0,0.1501,0.9313,0.4167,1
2026-09-01 22:26:21,smallpkt_step_20260901,1.016,33.47,50.0,delta,,,,-83.0,36.024,4.116,0.0,1,,4944,6517,0.3702,-35.33,3,-2.0,-35.27,135.0,135.0,0.2231,0.4167,0.0514,0.0,0.1501,0.9503,0.4167,1
2026-09-01 22:26:22,smallpkt_step_20260901,1.107,29.51,50.0,instantaneous_fallback,,,,-31.0,55.064,4.57,0.0,1,,2934,6338,0.3638,-34.0,3,1.33,-34.67,135.0,135.0,0.1967,0.4167,0.0571,0.0,0.2294,0.9397,0.4167,1
2026-09-01 22:26:23,smallpkt_step_20260901,1.058,30.48,50.0,instantaneous_fallback,,,,-61.0,41.25,4.57,0.0,1,,3282,6187,0.3592,-34.0,3,0.0,-34.27,15.0,15.0,0.2032,0.4167,0.0571,0.0,0.1719,0.932,0.4167,1
2026-09-01 22:26:24,smallpkt_step_20260901,1.035,29.91,56.67,instantaneous_fallback,,,,-84.0,55.064,5.258,0.0,1,,2666,6137,0.3566,-33.67,3,0.33,-34.07,30.0,30.0,0.1994,0.5209,0.0657,0.0,0.2294,0.9277,0.5209,2
2026-09-01 22:26:25,smallpkt_step_20260901,1.067,29.98,58.62,delta,,,,-32.0,45.49,5.258,0.0,1,,3124,6176,0.3509,-34.67,3,-1.0,-34.33,30.0,30.0,0.1999,0.5453,0.0657,0.0,0.1895,0.9182,0.5453,2
2026-09-01 22:26:26,smallpkt_step_20260901,1.024,35.6,58.62,instantaneous_fallback,,,,-32.0,45.49,5.385,0.0,1,,3792,7153,0.3306,-36.0,3,-1.33,-34.47,135.0,135.0,0.2373,0.5453,0.0673,0.0,0.1895,0.8843,0.5453,2
2026-09-01 22:26:27,smallpkt_step_20260901,1.032,32.7,50.0,instantaneous_fallback,,,,-32.0,15.074,5.385,0.0,1,,5156,6571,0.3586,-34.67,3,1.33,-34.6,30.0,43.9,0.218,0.4167,0.0673,0.0,0.0628,0.931,0.4167,1
2026-09-01 22:26:28,smallpkt_step_20260901,1.045,35.14,46.67,instantaneous_fallback,,,,-86.0,15.074,7.752,0.0,1,,4826,7178,0.3707,-34.33,3,0.33,-34.67,30.0,30.0,0.2343,0.3612,0.0969,0.0,0.0628,0.9512,0.3612,1
2026-09-01 22:26:29,smallpkt_step_20260901,1.041,30.25,46.67,instantaneous_fallback,,,,-82.0,23.401,7.752,0.0,1,,4008,6078,0.3867,-36.33,3,-2.0,-35.2,30.0,30.0,0.2017,0.3612,0.0969,0.0,0.0975,0.9778,0.3612,1
2026-09-01 22:26:30,smallpkt_step_20260901,1.079,26.42,50.0,instantaneous_fallback,,,,-32.0,58.702,9.488,0.0,1,,2702,5537,0.3865,-37.0,3,-0.67,-35.67,30.0,30.0,0.1761,0.4167,0.1186,0.0,0.2446,0.9775,0.4167,1
2026-09-01 22:26:31,smallpkt_step_20260901,1.177,23.53,66.67,instantaneous_fallback,,,,-31.0,83.6,9.488,0.0,1,,3352,5225,0.3959,-34.33,3,2.67,-35.33,30.0,43.9,0.1569,0.6459,0.1186,0.0,0.3483,0.9932,0.6459,2
2026-09-01 22:26:33,smallpkt_step_20260901,2.026,19.36,66.67,instantaneous_fallback,,,,-86.0,97.783,6.241,0.0,1,,2964,5740,0.375,-34.33,3,0.0,-35.27,6.5,18.2,0.1291,0.6459,0.078,0.0,0.4074,0.9583,0.6459,2
2026-09-01 22:26:35,smallpkt_step_20260901,2.016,67.32,66.67,instantaneous_fallback,,,,-33.0,120.402,8.265,0.0,1,,5104,15692,0.3214,-35.0,3,-0.67,-35.4,19.5,19.5,0.4488,0.6459,0.1033,0.0,0.5006,0.869,0.6459,2
2026-09-01 22:26:37,smallpkt_step_20260901,1.036,107.52,66.67,instantaneous_fallback,,,,-81.0,97.783,8.265,0.0,1,,4020,7264,0.315,-37.33,3,-2.33,-35.6,19.5,38.6,0.7168,0.6459,0.1033,0.0,0.4074,0.8583,0.6459,2
2026-09-01 22:26:38,smallpkt_step_20260901,1.017,81.73,63.33,instantaneous_fallback,,,,-81.0,67.187,2.837,0.0,1,,1894,10898,0.2789,-35.67,3,1.67,-35.33,40.5,49.1,0.5449,0.6041,0.0355,0.0,0.2799,0.7982,0.6041,2
2026-09-01 22:26:39,smallpkt_step_20260901,1.025,55.64,63.33,instantaneous_fallback,,,,-60.0,49.461,2.837,0.0,1,,3484,10633,0.258,-37.0,3,-1.33,-35.87,39.0,39.0,0.3709,0.6041,0.0355,0.0,0.2061,0.7633,0.6041,2
2026-09-01 22:26:40,smallpkt_step_20260901,1.022,46.56,50.0,instantaneous_fallback,,,,-60.0,12.924,2.837,0.0,1,,3756,9157,0.2539,-36.0,3,1.0,-36.2,65.0,65.0,0.3104,0.4167,0.0355,0.0,0.0538,0.7565,0.4167,1
