timestamp,scenario,poll_interval_s,throughput_mbps,channel_occupancy_percent,channel_occupancy_method,latency_ms,probe_jitter_ms,probe_loss_pct,probe_ok,packet_loss_udp_percent,tx_retx_delta,tx_packets_delta,tx_retry_ratio,rssi_dbm,connected_clients,rssi_delta_db,rssi_moving_avg_dbm,sta_tx_bitrate_min,sta_tx_bitrate_mean,throughput_score,occupancy_score,jitter_score,loss_score,latency_score,retry_score,congestion_score,label
2026-08-28 19:59:07,step_run1,0.0,0.0,20.0,instantaneous,5.899,,,0,,0,0,0.0,-39.0,3,0.0,-39.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0246,0.0,0.125,0
2026-08-28 19:59:09,step_run1,1.008,0.46,18.34,instantaneous_fallback,3.975,1.306,0.0,1,,0,213,0.0,-39.0,3,0.0,-39.0,13.0,13.0,0.0031,0.1146,0.0163,0.0,0.0166,0.0,0.1146,0
2026-08-28 19:59:10,step_run1,1.01,0.38,16.67,instantaneous_fallback,3.621,1.306,0.0,1,,0,215,0.0,-39.0,3,0.0,-39.0,13.5,13.5,0.0025,0.1042,0.0163,0.0,0.0151,0.0,0.1042,0
2026-08-28 19:59:11,step_run1,1.01,0.21,16.67,instantaneous_fallback,2.526,0.947,0.0,1,,0,112,0.0,-39.0,3,0.0,-39.0,6.5,32.5,0.0014,0.1042,0.0118,0.0,0.0105,0.0,0.1042,0
2026-08-28 19:59:12,step_run1,1.016,0.5,16.67,instantaneous_fallback,3.086,0.947,0.0,1,,0,224,0.0,-38.67,3,0.33,-38.93,7.2,36.1,0.0033,0.1042,0.0118,0.0,0.0129,0.0,0.1042,0
2026-08-28 19:59:13,step_run1,1.013,0.37,16.67,instantaneous_fallback,3.086,1.841,0.0,1,,0,209,0.0,-38.67,3,0.0,-38.87,6.5,63.2,0.0025,0.1042,0.023,0.0,0.0129,0.0,0.1042,0
2026-08-28 19:59:14,step_run1,1.015,0.38,20.0,instantaneous_fallback,3.086,1.841,0.0,1,,0,214,0.0,-38.33,3,0.33,-38.73,65.0,65.0,0.0025,0.125,0.023,0.0,0.0129,0.0,0.125,0
2026-08-28 19:59:15,step_run1,1.017,0.39,20.0,instantaneous_fallback,3.74,0.904,0.0,1,,0,218,0.0,-38.0,3,0.33,-38.53,72.2,72.2,0.0026,0.125,0.0113,0.0,0.0156,0.0,0.125,0
2026-08-28 19:59:16,step_run1,1.014,0.39,20.0,instantaneous_fallback,2.089,0.904,0.0,1,,4,229,0.0036,-38.0,3,0.0,-38.33,6.5,9.8,0.0026,0.125,0.0113,0.0,0.0087,0.009,0.125,0
2026-08-28 19:59:17,step_run1,1.018,0.37,20.0,instantaneous_fallback,3.74,1.209,0.0,1,,0,211,0.0037,-38.0,3,0.0,-38.2,28.9,28.9,0.0025,0.125,0.0151,0.0,0.0156,0.0092,0.125,0
